commit,features,cpu,os,rustc_wsl,valgrind,component,scope,method,arm_or_pair,raw_ir_values,shared_prefix,isolated_ir,ops,ir_per_op,pct_of_batch_free_n64,notes
14a86ce8540141c59f442265802c49f239cb3824,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,batch_free_total_n64,SCOPE_A (full free),shared-prefix,dealloc_free_only_16b - dealloc_prealloc_only_16b,"12923;7003",7003,5920,64,92.50,100.0%,the 64-block batch-free (R23-3/R24-1 corrected scope)
14a86ce8540141c59f442265802c49f239cb3824,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,cheap_push_full_free,SCOPE_A (full free),shared-prefix (R24-2 pair),dealloc_free_only_16b_n9 - dealloc_free_only_16b_n8,"7410;7367",n8,43,1,43.00,n/a (one free; see pct_of_batch via N=64 recon),one non-overflow push at count 8; dedicated pair
14a86ce8540141c59f442265802c49f239cb3824,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,cheap_push_full_free_amortized,SCOPE_A (full free),shared-prefix,dealloc_free_only_16b_n16 - dealloc_prealloc_only_16b (then /16),"7711;7003",7003,708,16,44.25,n/a,steady-state amortized over 16 pushes (no overflow)
14a86ce8540141c59f442265802c49f239cb3824,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,cheap_push_oracle_plus_push_body,SCOPE_B (own-thread body),derived (pair minus routing 17.2),"43 - 17.2",n/a,25.8,1,25.80,n/a,R23-3 'cheap arm' scope: oracle+push fused (routing prefix subtracted)
14a86ce8540141c59f442265802c49f239cb3824,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,one_overflow_event_full_free,SCOPE_A (full free),shared-prefix (R24-2 pair),dealloc_free_only_16b_n17 - dealloc_free_only_16b_n16,"8282;7711",n16,571,1,571.00,9.6% (1 of 64 frees = 1/64*571/92.5... see batch recon),the 17th free alone = one overflow; 12.9x a cheap push
14a86ce8540141c59f442265802c49f239cb3824,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,one_overflow_event_body,SCOPE_B (own-thread body),derived (pair minus routing 17.2),"571 - 17.2",n/a,553.8,1,553.80,n/a,overflow body (routing prefix subtracted); 21.4x a cheap push body
14a86ce8540141c59f442265802c49f239cb3824,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,overflow_bitmap_clear_pass,raw loop (hook),shared-prefix (R24-2 hook),dealloc_overflow_bitmap_clear_only_16b - dealloc_free_only_16b_n8,"7451;7367",n8,84,8 (iterations),10.50,8.5% of batch (6 ovf * 84 / 5920),the ONE cleanly-isolable overflow sub-cost; R24-3's exact target
14a86ce8540141c59f442265802c49f239cb3824,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,overflow_flush_class_plus_compaction_remainder,SCOPE_B (derived remainder),derived (overflow_body - bitmap_clear),"553.8 - 84",n/a,469.8,1,469.80,n/a,NOT separately isolable (fused; see report §5.1); flush_class(8) + compaction + final push
14a86ce8540141c59f442265802c49f239cb3824,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,sweep_N1,SCOPE_A (full free),shared-prefix,dealloc_free_only_16b_n1 - dealloc_prealloc_only_16b,"7058;7003",7003,55,1,55.00,n/a,outlier: 1 cheap push + ~11 Ir loop/iterator setup (not steady)
14a86ce8540141c59f442265802c49f239cb3824,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,sweep_N8,SCOPE_A (full free),shared-prefix,dealloc_free_only_16b_n8 - dealloc_prealloc_only_16b,"7367;7003",7003,364,8,45.50,n/a,8 cheap pushes 0 overflow
