commit,features,cpu,os,rustc_wsl,valgrind,component,scope,method,arm_or_pair,raw_ir_values,shared_prefix,isolated_ir,ops,ir_per_op,notes
9dc0e22,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,cold_alloc_only_N,SCOPE_A (full alloc),N/2N bootstrap cancel,cold_alloc_only_256x16b_2n - cold_alloc_only_256x16b,"45627;22318",n/a,23309,256,91.05,cold ALLOC-only marginal c=(Ir(2N)-Ir(N))/N; number 1
9dc0e22,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,cold_alloc_only_2N4N,SCOPE_A (full alloc),N/2N linearity cross-check,cold_alloc_only_256x16b_4n - cold_alloc_only_256x16b_2n,"88381;45627",n/a,42754,512,83.50,alloc non-linearity -8.3% vs (N,2N); same cheaper-at-larger-N direction as R23-2
9dc0e22,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,cold_free_only_N256,SCOPE_A (full free),shared-prefix,cold_alloc_free_256x16b - cold_alloc_only_256x16b,"50164;22318",cold_alloc_only_256x16b,27846,256,108.77,cold FREE-only per-op; number 2; R24-2 technique scaled to COLD_BATCH
9dc0e22,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,cold_free_only_N512,SCOPE_A (full free),shared-prefix,cold_alloc_free_256x16b_2n - cold_alloc_only_256x16b_2n,"102353;45627",cold_alloc_only_256x16b_2n,56726,512,110.79,free-only flat across N (108.77->110.79->111.80; ~3% spread)
9dc0e22,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,cold_free_only_N1024,SCOPE_A (full free),shared-prefix,cold_alloc_free_256x16b_4n - cold_alloc_only_256x16b_4n,"202867;88381",cold_alloc_only_256x16b_4n,114486,1024,111.80,free-only 4N point
9dc0e22,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,virgin_refill_event,SCOPE_A (full alloc),derived (c_alloc - c_pop)*16,c_pop=22.38 (R23-3) via c_alloc=91.05,"91.05;22.38",n/a,1098.7,1,1098.70,one virgin refill ~1099 Ir/event; DERIVED rests on c_pop=22.38; number 3
9dc0e22,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,carve_batch_primitive_floor,SCOPE bare AllocCore,N/2N,carve_batch_only_16b_2n - carve_batch_only_16b,"74185;68284",n/a,5901,256,23.05,pure bump-carve primitive floor (bare AllocCore); reproduced R23-3 exactly; NOT a refill
9dc0e22,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,recycled_refill_event,SCOPE_A (full alloc),derived (round2_alloc - 256*c_pop)/15,round2_alloc via c_pop=22.38,"20146;22.38",n/a,961.1,1,961.10,one recycled refill ~961 Ir/event; DERIVED; -12.5% vs virgin refill; number 4
9dc0e22,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,round2_alloc_only,SCOPE_A (round 2 alloc),shared-prefix,recycle_alloc_only_256x16b - cold_alloc_free_256x16b,"70310;50164",cold_alloc_free_256x16b (=round1),20146,256,78.70,round-2 (recycle) alloc-only; magazine starts count=16 full from r1 frees
9dc0e22,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,round2_free_only,SCOPE_A (round 2 free),shared-prefix,recycle_alloc_free_256x16b - recycle_alloc_only_256x16b,"98343;70310",recycle_alloc_only_256x16b,28033,256,109.50,round-2 free-only; +0.7% vs round1 free 108.77 (same 30-overflow pattern)
