metric,flush_n,value,unit,gate,notes
commit_sha,all,667cfe76a654a90dbe5101241189c56c532dc3e1,sha1,meta,measurement commit (production feature set unchanged)
tcache_cap,all,16,blocks,meta,held fixed per task brief
ir_prefix_alloc1088,4,87870,Ir,gate1,dealloc_prealloc_only_1088_16b raw Ir
ir_prefix_alloc1088,8,87870,Ir,gate1,dealloc_prealloc_only_1088_16b raw Ir
ir_prefix_alloc1088,12,87870,Ir,gate1,dealloc_prealloc_only_1088_16b raw Ir
ir_prefix_alloc1088,16,87870,Ir,gate1,dealloc_prealloc_only_1088_16b raw Ir
free_cost_n17,4,1079,Ir,gate1,dealloc_free_only_1088_16b_n17 minus prefix
free_cost_n17,8,1279,Ir,gate1,dealloc_free_only_1088_16b_n17 minus prefix (baseline)
free_cost_n17,12,1550,Ir,gate1,dealloc_free_only_1088_16b_n17 minus prefix
free_cost_n17,16,1775,Ir,gate1,dealloc_free_only_1088_16b_n17 minus prefix
free_cost_n32,4,2699,Ir,gate1,dealloc_free_only_1088_16b_n32 minus prefix
free_cost_n32,8,2448,Ir,gate1,dealloc_free_only_1088_16b_n32 minus prefix (baseline)
free_cost_n32,12,2990,Ir,gate1,dealloc_free_only_1088_16b_n32 minus prefix
free_cost_n32,16,2420,Ir,gate1,dealloc_free_only_1088_16b_n32 minus prefix
free_cost_n64,4,6675,Ir,gate1,dealloc_free_only_1088_16b_n64 minus prefix
free_cost_n64,8,5920,Ir,gate1,dealloc_free_only_1088_16b_n64 minus prefix (baseline)
free_cost_n64,12,5956,Ir,gate1,dealloc_free_only_1088_16b_n64 minus prefix
free_cost_n64,16,5838,Ir,gate1,dealloc_free_only_1088_16b_n64 minus prefix
free_cost_n256,4,30531,Ir,gate1,dealloc_free_only_1088_16b_n256 minus prefix
free_cost_n256,8,26752,Ir,gate1,dealloc_free_only_1088_16b_n256 minus prefix (baseline)
free_cost_n256,12,26932,Ir,gate1,dealloc_free_only_1088_16b_n256 minus prefix
free_cost_n256,16,26346,Ir,gate1,dealloc_free_only_1088_16b_n256 minus prefix
free_cost_n1024,4,125955,Ir,gate1,dealloc_free_only_1088_16b_n1024 minus prefix
free_cost_n1024,8,110080,Ir,gate1,dealloc_free_only_1088_16b_n1024 minus prefix (baseline)
free_cost_n1024,12,110836,Ir,gate1,dealloc_free_only_1088_16b_n1024 minus prefix
free_cost_n1024,16,108378,Ir,gate1,dealloc_free_only_1088_16b_n1024 minus prefix
ir_per_free_at_n1024,4,123.00,Ir/free,gate1,free_cost_n1024 / 1024
