metric_group,pool_segments,threads,repetition,metric,value_kib,unit,verified_cap,cfg_conflicts_delta
# R26-1 (task #410) — subprocess-per-arm isolation, corrected RSS/commit axis.
# Every row self-verified: verified_cap == pool_segments AND cfg_conflicts_delta == 0.
# 36 child processes total (4 caps x 3 thread-counts x 3 reps). Median is the
# headline figure (see R26_1_POOL_CAP_RSS_SUBPROCESS_GATE.md §0).
# Raw log: docs/perf/_raw_r26_1_pool_cap_rss_subprocess_probe.log
#
# Per-rep raw rows (verbatim from each child's OK line):
rss,4,1,0,peak_rss_delta_kib,13368,KiB,4,0
rss,4,1,1,peak_rss_delta_kib,13364,KiB,4,0
rss,4,1,2,peak_rss_delta_kib,13388,KiB,4,0
rss,4,1,0,peak_commit_delta_kib,17240,KiB,4,0
rss,4,1,1,peak_commit_delta_kib,17240,KiB,4,0
rss,4,1,2,peak_commit_delta_kib,17268,KiB,4,0
rss,8,1,0,peak_rss_delta_kib,13392,KiB,8,0
rss,8,1,1,peak_rss_delta_kib,13372,KiB,8,0
rss,8,1,2,peak_rss_delta_kib,13364,KiB,8,0
rss,8,1,0,peak_commit_delta_kib,17268,KiB,8,0
rss,8,1,1,peak_commit_delta_kib,17240,KiB,8,0
rss,8,1,2,peak_commit_delta_kib,17240,KiB,8,0
rss,16,1,0,peak_rss_delta_kib,13360,KiB,16,0
rss,16,1,1,peak_rss_delta_kib,13360,KiB,16,0
rss,16,1,2,peak_rss_delta_kib,13368,KiB,16,0
rss,16,1,0,peak_commit_delta_kib,17240,KiB,16,0
rss,16,1,1,peak_commit_delta_kib,17236,KiB,16,0
rss,16,1,2,peak_commit_delta_kib,17236,KiB,16,0
rss,32,1,0,peak_rss_delta_kib,13384,KiB,32,0
rss,32,1,1,peak_rss_delta_kib,13384,KiB,32,0
rss,32,1,2,peak_rss_delta_kib,13368,KiB,32,0
rss,32,1,0,peak_commit_delta_kib,17276,KiB,32,0
rss,32,1,1,peak_commit_delta_kib,17276,KiB,32,0
rss,32,1,2,peak_commit_delta_kib,17236,KiB,32,0
rss,4,8,0,peak_rss_delta_kib,105976,KiB,4,0
rss,4,8,1,peak_rss_delta_kib,105904,KiB,4,0
rss,4,8,2,peak_rss_delta_kib,106064,KiB,4,0
rss,4,8,0,peak_commit_delta_kib,133548,KiB,4,0
rss,4,8,1,peak_commit_delta_kib,133544,KiB,4,0
rss,4,8,2,peak_commit_delta_kib,133584,KiB,4,0
rss,8,8,0,peak_rss_delta_kib,106036,KiB,8,0
rss,8,8,1,peak_rss_delta_kib,106044,KiB,8,0
rss,8,8,2,peak_rss_delta_kib,105992,KiB,8,0
rss,8,8,0,peak_commit_delta_kib,133656,KiB,8,0
rss,8,8,1,peak_commit_delta_kib,133684,KiB,8,0
rss,8,8,2,peak_commit_delta_kib,133624,KiB,8,0
rss,16,8,0,peak_rss_delta_kib,105956,KiB,16,0
rss,16,8,1,peak_rss_delta_kib,105880,KiB,16,0
rss,16,8,2,peak_rss_delta_kib,106012,KiB,16,0
rss,16,8,0,peak_commit_delta_kib,133508,KiB,16,0
rss,16,8,1,peak_commit_delta_kib,133512,KiB,16,0
rss,16,8,2,peak_commit_delta_kib,133792,KiB,16,0
rss,32,8,0,peak_rss_delta_kib,106132,KiB,32,0
rss,32,8,1,peak_rss_delta_kib,105996,KiB,32,0
rss,32,8,2,peak_rss_delta_kib,106052,KiB,32,0
rss,32,8,0,peak_commit_delta_kib,133712,KiB,32,0
rss,32,8,1,peak_commit_delta_kib,133656,KiB,32,0
rss,32,8,2,peak_commit_delta_kib,133656,KiB,32,0
rss,4,32,0,peak_rss_delta_kib,423244,KiB,4,0
rss,4,32,1,peak_rss_delta_kib,423448,KiB,4,0
rss,4,32,2,peak_rss_delta_kib,423656,KiB,4,0
rss,4,32,0,peak_commit_delta_kib,532172,KiB,4,0
rss,4,32,1,peak_commit_delta_kib,532260,KiB,4,0
rss,4,32,2,peak_commit_delta_kib,532312,KiB,4,0
rss,8,32,0,peak_rss_delta_kib,423444,KiB,8,0
rss,8,32,1,peak_rss_delta_kib,423320,KiB,8,0
rss,8,32,2,peak_rss_delta_kib,424140,KiB,8,0
rss,8,32,0,peak_commit_delta_kib,532256,KiB,8,0
rss,8,32,1,peak_commit_delta_kib,532120,KiB,8,0
rss,8,32,2,peak_commit_delta_kib,532952,KiB,8,0
rss,16,32,0,peak_rss_delta_kib,423444,KiB,16,0
rss,16,32,1,peak_rss_delta_kib,423620,KiB,16,0
rss,16,32,2,peak_rss_delta_kib,423000,KiB,16,0
rss,16,32,0,peak_commit_delta_kib,532388,KiB,16,0
rss,16,32,1,peak_commit_delta_kib,532336,KiB,16,0
rss,16,32,2,peak_commit_delta_kib,531588,KiB,16,0
rss,32,32,0,peak_rss_delta_kib,423752,KiB,32,0
rss,32,32,1,peak_rss_delta_kib,423236,KiB,32,0
rss,32,32,2,peak_rss_delta_kib,423520,KiB,32,0
rss,32,32,0,peak_commit_delta_kib,532712,KiB,32,0
rss,32,32,1,peak_commit_delta_kib,532156,KiB,32,0
rss,32,32,2,peak_commit_delta_kib,532380,KiB,32,0
#
# Aggregated medians (headline figures):
metric_group,pool_segments,threads,metric,median_kib,min_kib,max_kib,unit,verified_cap,cfg_conflicts_delta
agg,4,1,peak_rss_delta_kib,13368,13364,13388,KiB,4,0
agg,4,1,peak_commit_delta_kib,17240,17240,17268,KiB,4,0
agg,8,1,peak_rss_delta_kib,13372,13364,13392,KiB,8,0
agg,8,1,peak_commit_delta_kib,17240,17240,17268,KiB,8,0
agg,16,1,peak_rss_delta_kib,13360,13360,13368,KiB,16,0
agg,16,1,peak_commit_delta_kib,17236,17236,17240,KiB,16,0
agg,32,1,peak_rss_delta_kib,13384,13368,13384,KiB,32,0
agg,32,1,peak_commit_delta_kib,17276,17236,17276,KiB,32,0
agg,4,8,peak_rss_delta_kib,105976,105904,106064,KiB,4,0
agg,4,8,peak_commit_delta_kib,133548,133544,133584,KiB,4,0
agg,8,8,peak_rss_delta_kib,106036,105992,106044,KiB,8,0
agg,8,8,peak_commit_delta_kib,133656,133624,133684,KiB,8,0
agg,16,8,peak_rss_delta_kib,105956,105880,106012,KiB,16,0
agg,16,8,peak_commit_delta_kib,133512,133508,133792,KiB,16,0
agg,32,8,peak_rss_delta_kib,106052,105996,106132,KiB,32,0
agg,32,8,peak_commit_delta_kib,133656,133656,133712,KiB,32,0
agg,4,32,peak_rss_delta_kib,423448,423244,423656,KiB,4,0
agg,4,32,peak_commit_delta_kib,532260,532172,532312,KiB,4,0
agg,8,32,peak_rss_delta_kib,423444,423320,424140,KiB,8,0
agg,8,32,peak_commit_delta_kib,532256,532120,532952,KiB,8,0
agg,16,32,peak_rss_delta_kib,423444,423000,423620,KiB,16,0
agg,16,32,peak_commit_delta_kib,532336,531588,532388,KiB,16,0
agg,32,32,peak_rss_delta_kib,423520,423236,423752,KiB,32,0
agg,32,32,peak_commit_delta_kib,532380,532156,532712,KiB,32,0
