task,N,arm,variant,ir,l1,l2,ram,est_cycles,overflow_blocks,delta_ir_vs_eager,delta_pct_vs_eager,delta_cyc_vs_eager,verdict_at_N,toolchain,feature_set
R26-7,0,dealloc_batch_fresh_0_16b,eager,2510,3695,91,375,17275,0,,,,never-materializes (WIN),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,0,dealloc_batch_lazy_fresh_0_16b,lazy,2456,3617,91,375,17197,0,-54,-2.15%,-78,never-materializes (WIN; isolated 64-entry zero-init cost = ~54 Ir),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,1,dealloc_batch_fresh_1_16b,eager,3397,4721,94,426,20101,0,,,,never-materializes (WIN),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,1,dealloc_batch_lazy_fresh_1_16b,lazy,3344,4645,94,426,20025,0,-53,-1.56%,-76,never-materializes (WIN),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,8,dealloc_batch_fresh_8_16b,eager,3860,5302,95,436,21037,0,,,,never-materializes (WIN),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,8,dealloc_batch_lazy_fresh_8_16b,lazy,3807,5226,95,436,20961,0,-53,-1.37%,-76,never-materializes (WIN),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,16,dealloc_batch_fresh_16_16b,eager,4449,6049,95,431,21609,0,,,,never-materializes (WIN; reproduces R24-8/R25-7 4449 exactly),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,16,dealloc_batch_lazy_fresh_16_16b,lazy,4396,5974,95,430,21499,0,-53,-1.19%,-110,never-materializes (WIN),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,17,dealloc_batch_fresh_17_16b,eager,6217,8173,95,451,24433,1,,,,CROSSOVER: first overflow block (LOSS),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,17,dealloc_batch_lazy_fresh_17_16b,lazy,6272,8261,95,453,24591,1,+55,+0.88%,+158,CROSSOVER: first overflow block (LOSS; materialization overhead ~108 Ir = get_or_insert_with + deferred init),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,64,dealloc_batch_fresh_64_16b,eager,12692,16135,95,463,32815,48,,,,materializes (LOSS; reproduces R24-8/R25-7 12692 exactly),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,64,dealloc_batch_lazy_fresh_64_16b,lazy,12843,16381,95,467,33201,48,+151,+1.19%,+386,materializes (LOSS),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,81,dealloc_batch_fresh_81_16b,eager,17164,21583,96,473,38618,65,,,,materializes (LOSS; reproduces R25-7 17164 exactly),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,81,dealloc_batch_lazy_fresh_81_16b,lazy,17414,21993,97,476,39138,65,+250,+1.46%,+520,materializes (LOSS),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,200,dealloc_batch_fresh_200_16b,eager,36678,45487,97,519,64137,184,,,,materializes (LOSS; reproduces R25-7 36678 exactly),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,200,dealloc_batch_lazy_fresh_200_16b,lazy,37267,46462,98,521,65187,184,+589,+1.61%,+1050,materializes (LOSS),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,1024,dealloc_batch_fresh_1024_16b,eager,184250,232459,114,828,262009,1008,,,,materializes (LOSS; reproduces R25-7 184250 exactly),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,1024,dealloc_batch_lazy_fresh_1024_16b,lazy,187326,237566,114,831,267221,1008,+3076,+1.67%,+5212,materializes (LOSS; max N),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,overall,,,,,,,,,,,,NO-GO: lazy wins ~53 Ir (~1-2%) only for N<=16 (never-materializes); loses for every N>=17, growing to +3076 Ir (+1.67%) at N=1024; crossover at N=17 (first overflow block); realistic batch sizes (tens-low hundreds per R23-7) ALL in loss regime; 4th consecutive NO-GO in this region (R24-3/R24-4/R25-3/R26-7); dealloc_batch_small UNCHANGED,,,
R26-7,reference_small_churn_16b,-,8051,10533,108,439,26438,n/a,n/a,n/a,n/a,n/a,reference (no stage dep; reproduces R25-7 8051 exactly -> A/B chain equivalent),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
R26-7,reference_large_alloc_free_cycle,-,3308,4747,110,440,20697,n/a,n/a,n/a,n/a,n/a,reference (bootstrap proxy; reproduces R25-7 3308 exactly),WSL2 valgrind 3.22.0 / iai-callgrind-runner 0.14.2 / rustc 1.98.0-nightly,production batch-api bench-internals
