headroom_bytes,headroom_mib,thread_count,repetition,verified_headroom,config_conflicts_delta,process_identity,large_obj_bytes,large_obj_count,peak_rss_kib,peak_commit_kib,used_post_fill_max,used_post_teardown_sum,used_post_teardown_max,slots_occupied_max,rss_post_kib,commit_post_kib,rss_100ms_kib,rss_1s_kib,rss_2s_kib,used_predrain_sum,rss_drain_kib,commit_drain_kib,decay_interval_ms
0,0,1,0,0,0,subprocess,35651584,8,281844,297196,0,301989888,301989888,8,281844,297196,281844,281844,281844,301989888,3288,1708,1000
0,0,1,1,0,0,subprocess,35651584,8,281868,297224,0,301989888,301989888,8,281868,297224,281868,281868,281868,301989888,3312,1732,1000
0,0,1,2,0,0,subprocess,35651584,8,281864,297220,0,301989888,301989888,8,281864,297220,281864,281864,281864,301989888,3308,1728,1000
0,0,8,0,0,0,subprocess,35651584,8,2232280,2369180,0,2415919104,301989888,8,2232280,2369180,2232280,2232280,2232280,2415919104,3804,5268,1000
0,0,8,1,0,0,subprocess,35651584,8,2232284,2369184,0,2415919104,301989888,8,2232284,2369184,2232284,2232284,2232284,2415919104,3808,5272,1000
0,0,8,2,0,0,subprocess,35651584,8,2232288,2369184,0,2415919104,301989888,8,2232288,2369184,2232288,2232288,2232288,2415919104,3812,5276,1000
0,0,32,0,0,0,subprocess,35651584,8,8919828,9473064,0,9663676416,301989888,8,8919828,9473064,8919828,8919828,8919828,9663676416,5912,17416,1000
0,0,32,1,0,0,subprocess,35651584,8,8919864,9473104,0,9663676416,301989888,8,8919864,9473104,8919864,8919864,8919864,9663676416,5948,17452,1000
0,0,32,2,0,0,subprocess,35651584,8,8919832,9473096,0,9663676416,301989888,8,8919832,9473096,8919832,8919832,8919832,9663676416,5916,17444,1000
16777216,16,1,0,16777216,0,subprocess,35651584,8,281860,297212,0,301989888,301989888,8,281860,297212,281860,281860,281860,301989888,3304,1724,1000
16777216,16,1,1,16777216,0,subprocess,35651584,8,281856,297208,0,301989888,301989888,8,281856,297208,281856,281856,281856,301989888,3300,1720,1000
16777216,16,1,2,16777216,0,subprocess,35651584,8,281864,297216,0,301989888,301989888,8,281864,297216,281864,281864,281864,301989888,3308,1728,1000
16777216,16,8,0,16777216,0,subprocess,35651584,8,2232288,2369188,0,2415919104,301989888,8,2232288,2369188,2232288,2232288,2232288,2415919104,3812,5280,1000
16777216,16,8,1,16777216,0,subprocess,35651584,8,2232284,2369184,0,2415919104,301989888,8,2232284,2369184,2232284,2232284,2232284,2415919104,3808,5272,1000
16777216,16,8,2,16777216,0,subprocess,35651584,8,2232304,2369212,0,2415919104,301989888,8,2232304,2369212,2232304,2232304,2232304,2415919104,3828,5300,1000
16777216,16,32,0,16777216,0,subprocess,35651584,8,8919852,9473128,0,9663676416,301989888,8,8919852,9473128,8919852,8919852,8919852,9663676416,5936,17480,1000
16777216,16,32,1,16777216,0,subprocess,35651584,8,8919820,9473084,0,9663676416,301989888,8,8919820,9473084,8919820,8919820,8919820,9663676416,5904,17436,1000
16777216,16,32,2,16777216,0,subprocess,35651584,8,8919820,9473096,0,9663676416,301989888,8,8919820,9473096,8919820,8919820,8919820,9663676416,5904,17448,1000
67108864,64,1,0,67108864,0,subprocess,35651584,8,281860,297216,0,301989888,301989888,8,281860,297216,281860,281860,281860,301989888,38124,38664,1000
67108864,64,1,1,67108864,0,subprocess,35651584,8,281868,297224,0,301989888,301989888,8,281868,297224,281868,281868,281868,301989888,38132,38672,1000
67108864,64,1,2,67108864,0,subprocess,35651584,8,281856,297208,0,301989888,301989888,8,281856,297208,281856,281856,281856,301989888,38120,38656,1000
67108864,64,8,0,67108864,0,subprocess,35651584,8,2232268,2369148,0,2415919104,301989888,8,2232268,2369148,2232268,2232268,2232268,2415919104,282352,300728,1000
67108864,64,8,1,67108864,0,subprocess,35651584,8,2232272,2369172,0,2415919104,301989888,8,2232272,2369172,2232272,2232272,2232272,2415919104,282356,300752,1000
67108864,64,8,2,67108864,0,subprocess,35651584,8,2232288,2369196,0,2415919104,301989888,8,2232288,2369196,2232288,2232288,2232288,2415919104,282372,300776,1000
67108864,64,32,0,67108864,0,subprocess,35651584,8,8919840,9473104,0,9663676416,301989888,8,8919840,9473104,8919840,8919840,8919840,9663676416,1120164,1199424,1000
67108864,64,32,1,67108864,0,subprocess,35651584,8,8919820,9473128,0,9663676416,301989888,8,8919820,9473128,8919820,8919820,8919820,9663676416,1120144,1199452,1000
67108864,64,32,2,67108864,0,subprocess,35651584,8,8919848,9473116,0,9663676416,301989888,8,8919848,9473116,8919848,8919848,8919848,9663676416,1120172,1199440,1000
268435456,256,1,0,268435456,0,subprocess,35651584,8,281856,297216,0,301989888,301989888,8,281856,297216,281856,281856,281856,301989888,247044,260280,1000
268435456,256,1,1,268435456,0,subprocess,35651584,8,281852,297220,0,301989888,301989888,8,281852,297220,281852,281852,281852,301989888,247040,260284,1000
268435456,256,1,2,268435456,0,subprocess,35651584,8,281852,297220,0,301989888,301989888,8,281852,297220,281852,281852,281852,301989888,247040,260284,1000
268435456,256,8,0,268435456,0,subprocess,35651584,8,2232280,2369176,0,2415919104,301989888,8,2232280,2369176,2232280,2232280,2232280,2415919104,1953728,2073688,1000
268435456,256,8,1,268435456,0,subprocess,35651584,8,2232308,2369216,0,2415919104,301989888,8,2232308,2369216,2232308,2232308,2232308,2415919104,1953756,2073728,1000
268435456,256,8,2,268435456,0,subprocess,35651584,8,2232280,2369188,0,2415919104,301989888,8,2232280,2369188,2232280,2232280,2232280,2415919104,1953728,2073700,1000
268435456,256,32,0,268435456,0,subprocess,35651584,8,8919760,9473040,0,9663676416,301989888,8,8919760,9473040,8919760,8919760,8919760,9663676416,7805528,8291088,1000
268435456,256,32,1,268435456,0,subprocess,35651584,8,8919816,9473104,0,9663676416,301989888,8,8919816,9473104,8919816,8919816,8919816,9663676416,7805584,8291152,1000
268435456,256,32,2,268435456,0,subprocess,35651584,8,8919796,9473076,0,9663676416,301989888,8,8919796,9473076,8919796,8919796,8919796,9663676416,7805564,8291124,1000
