scenario,size,touch,off_ns_r1,on_ns_r1,delta_pct_r1,off_ns_r2,on_ns_r2,delta_pct_r2,landing_commit
virgin,4k,notouch,2342.1,257.5,-89.01%,2851.2,299.6,-89.49%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
virgin,4k,onebyte,2387.5,2207.1,-7.56%,2037.9,2357.1,15.66%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
virgin,4k,full,4734.2,5124.6,8.25%,4601.2,4882.9,6.12%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
virgin,16k,notouch,11229.6,564.6,-94.97%,14034.2,440.0,-96.86%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
virgin,16k,onebyte,8915.4,9819.2,10.14%,12012.5,7171.2,-40.30%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
virgin,16k,full,16425.4,22331.2,35.96%,16421.7,14929.2,-9.09%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
virgin,64k,notouch,52116.7,754.2,-98.55%,47182.5,460.0,-99.03%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
virgin,64k,onebyte,47822.9,35572.1,-25.62%,53531.7,34074.2,-36.35%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
virgin,64k,full,96959.2,91308.3,-5.83%,95523.3,85450.4,-10.54%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
virgin,128k,notouch,97198.3,1354.6,-98.61%,93875.0,1496.7,-98.41%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
virgin,128k,onebyte,95133.8,71800.4,-24.53%,93796.7,71111.7,-24.19%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
virgin,128k,full,186685.8,160380.4,-14.09%,218827.5,170189.6,-22.23%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
recycled,4k,notouch,86.7,120.4,38.87%,149.2,117.1,-21.51%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
recycled,4k,onebyte,86.2,118.8,37.82%,144.6,115.4,-20.19%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
recycled,4k,full,3022.9,2959.6,-2.09%,3842.1,2917.9,-24.05%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
recycled,16k,notouch,292.1,334.2,14.41%,788.3,368.8,-53.22%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
recycled,16k,onebyte,275.0,213.8,-22.25%,769.6,325.8,-57.67%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
recycled,16k,full,11523.3,9977.1,-13.42%,13845.4,11727.1,-15.30%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
recycled,64k,notouch,1839.6,2025.0,10.08%,1799.2,2015.4,12.02%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
recycled,64k,onebyte,2009.6,1790.4,-10.91%,1846.7,2017.5,9.25%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
recycled,64k,full,41295.4,44968.3,8.89%,42704.2,39080.4,-8.49%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
recycled,128k,notouch,3931.7,3919.6,-0.31%,6233.3,4147.5,-33.46%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
recycled,128k,onebyte,3915.8,3772.1,-3.67%,6095.4,4121.2,-32.39%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
recycled,128k,full,105497.5,92092.1,-12.71%,103737.9,86495.0,-16.62%,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
