commit_sha,feature_set,virgin_zero_skip,cpu,os,rustc,scenario,size,touch,reps,refill_n,mean_hits,min_hits,expected_hits,mean_zp,min_zp,mean_ns_per_op,p50_ns_per_op,min_ns_per_op,max_ns_per_op,mean_act_pct,min_act_pct,oracle,landing_commit
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,4k,notouch,15,16,15.00,15,15,0.00,0,2342.1,2212.5,2081.2,3568.8,100.00,100.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,4k,onebyte,15,16,15.00,15,15,0.00,0,2387.5,2368.8,2187.5,2587.5,100.00,100.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,4k,full,15,16,15.00,15,15,0.00,0,4734.2,4837.5,3650.0,5493.8,100.00,100.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,16k,notouch,15,4,12.00,12,12,0.00,0,11229.6,10531.2,8856.2,20293.8,100.00,100.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,16k,onebyte,15,4,12.00,12,12,0.00,0,8915.4,8443.8,7931.2,11625.0,100.00,100.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,16k,full,15,4,12.00,12,12,0.00,0,16425.4,16625.0,15025.0,18093.8,100.00,100.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,64k,notouch,15,1,0.00,0,0,0.00,0,52116.7,49106.2,37875.0,70075.0,100.00,100.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,64k,onebyte,15,1,0.00,0,0,0.00,0,47822.9,41443.8,36806.2,75668.8,100.00,100.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,64k,full,15,1,0.00,0,0,0.00,0,96959.2,95087.5,73662.5,129762.5,100.00,100.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,128k,notouch,15,1,0.00,0,0,0.00,0,97198.3,96781.2,71668.8,134412.5,100.00,100.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,128k,onebyte,15,1,0.00,0,0,0.00,0,95133.8,98200.0,73393.8,137300.0,100.00,100.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,128k,full,15,1,0.00,0,0,0.00,0,186685.8,182500.0,164981.2,226556.2,100.00,100.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,4k,notouch,15,16,16.00,16,16,0.00,0,86.7,87.5,75.0,106.2,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,4k,onebyte,15,16,16.00,16,16,0.00,0,86.2,87.5,81.2,93.8,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,4k,full,15,16,16.00,16,16,0.00,0,3022.9,2975.0,2675.0,3650.0,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,16k,notouch,15,4,16.00,16,16,0.00,0,292.1,268.8,256.2,493.8,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,16k,onebyte,15,4,16.00,16,16,0.00,0,275.0,275.0,237.5,331.2,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,16k,full,15,4,16.00,16,16,0.00,0,11523.3,11225.0,10593.8,13437.5,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,64k,notouch,15,1,16.00,16,16,0.00,0,1839.6,1825.0,1787.5,1968.8,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,64k,onebyte,15,1,16.00,16,16,0.00,0,2009.6,1887.5,1762.5,2618.8,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,64k,full,15,1,16.00,16,16,0.00,0,41295.4,37668.8,31406.2,58143.8,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,128k,notouch,15,1,16.00,16,16,0.00,0,3931.7,4062.5,3400.0,4712.5,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,128k,onebyte,15,1,16.00,16,16,0.00,0,3915.8,3743.8,3718.8,4700.0,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
