base_commit,landing_commit,feature_set,cpu,os,rustc,burst_label,headroom_mib,thread_count,burst1_used_max_bytes_median,burst2_hits_median,burst2_possible,hit_rate_pct,rss_burst2_kib_median,rss_idle_kib_median,oracle_pass_all_reps
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,AT_BOUNDARY_6MiB,64,1,67108864,8,8,100.0,52552,52576,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,AT_BOUNDARY_6MiB,64,8,67108864,64,64,100.0,397504,397704,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,AT_BOUNDARY_6MiB,64,32,67108864,256,256,100.0,1580276,1581092,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,AT_BOUNDARY_6MiB,256,1,67108864,8,8,100.0,52548,52576,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,AT_BOUNDARY_6MiB,256,8,67108864,64,64,100.0,397512,397712,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,AT_BOUNDARY_6MiB,256,32,67108864,256,256,100.0,1580252,1581096,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,CROSSING_MODEST_12MiB,64,1,134217728,7,8,87.5,101716,101740,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,CROSSING_MODEST_12MiB,64,8,134217728,56,64,87.5,790732,790924,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,CROSSING_MODEST_12MiB,64,32,134217728,224,256,87.5,3153324,3154100,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,CROSSING_MODEST_12MiB,256,1,134217728,8,8,100.0,101700,101728,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,CROSSING_MODEST_12MiB,256,8,134217728,64,64,100.0,790720,790924,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,CROSSING_MODEST_12MiB,256,32,134217728,256,256,100.0,3153272,3154124,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,CROSSING_R29_13_34MiB,64,1,301989888,7,8,87.5,281932,281956,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,CROSSING_R29_13_34MiB,64,8,301989888,56,64,87.5,2232560,2232748,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,CROSSING_R29_13_34MiB,64,32,301989888,224,256,87.5,8920816,8921548,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,CROSSING_R29_13_34MiB,256,1,301989888,8,8,100.0,281924,281948,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,CROSSING_R29_13_34MiB,256,8,301989888,64,64,100.0,2232556,2232760,1
f93e66311ad3ea47aaa1a2fe2461caeb4c0968fe,UNFILLED,"production alloc-stats bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,CROSSING_R29_13_34MiB,256,32,301989888,256,256,100.0,8920748,8921576,1
