artifact,metric,arm,n_or_threads,value,unit,notes
turnover_ab_refresh,elapsed_ns_mean_delta,off_minus_on,n=20,385668,ns,"real effect, t=127.776 df=19 crit=2.101, sign 0/20 off-faster 20/20 on-faster"
turnover_ab_refresh,elapsed_ns_mean_delta,same_vs_same_control,n=20,2090,ns,"noise, t=0.739 df=19 crit=2.101, sign 10/10"
narrow_n1_ab,elapsed_ns_mean_delta,off_minus_on,n=20,48910,ns,"real effect ON-faster, t=7.113 df=19 crit=2.101, sign off-faster=1/20 on-faster=19/20"
narrow_n1_ab,elapsed_ns_mean_delta,same_vs_same_control,n=20,-718,ns,"noise, t=-0.105 df=19 crit=2.101"
narrow_n2_ab,elapsed_ns_mean_delta,off_minus_on,n=20,112573,ns,"real effect ON-faster, t=17.843 df=19 crit=2.101, sign off-faster=0/20 on-faster=20/20"
narrow_n4_ab,elapsed_ns_mean_delta,off_minus_on,n=20,201018,ns,"real effect ON-faster, t=10.945 df=19 crit=2.101, sign off-faster=0/20 on-faster=20/20"
narrow_n4_ab,elapsed_ns_mean_delta,same_vs_same_control,n=20,24183,ns,"noise, t=1.282 df=19 crit=2.101, sign off(A)-faster=9/20 off(B)-faster=11/20"
narrow_n1_ab,large_cache_hits_over_total_deallocs,off,n=1,400/400,ratio,"100% activation, path-activation oracle"
narrow_n1_ab,large_cache_hits_over_total_deallocs,on,n=1,400/400,ratio,"100% activation, path-activation oracle"
narrow_n4_ab,large_cache_hits_over_total_deallocs,off,n=4,1600/1600,ratio,"100% activation, path-activation oracle"
narrow_n4_ab,large_cache_hits_over_total_deallocs,on,n=4,1600/1600,ratio,"100% activation, path-activation oracle"
narrow_n4_ab,segments_reserved_total,off,n=4,10,count,"one-time FIFO-evict-and-refill of nine_sizes[0] during the pre-timing materialisation burst"
narrow_n4_ab,segments_reserved_total,on,n=4,14,count,"sidecar materialisation reservation, no eviction during narrow phase"
multi_heap_rss,used_post_teardown_max_per_heap,off,threads=1,452984832,bytes,"unbounded budget (base cache off), admission-proven"
multi_heap_rss,used_post_teardown_max_per_heap,off,threads=8,452984832,bytes,"identical per-heap value at 8 threads -- exact linear scaling (sum/max=8.0000)"
multi_heap_rss,used_post_teardown_max_per_heap,off,threads=32,452984832,bytes,"identical per-heap value at 32 threads -- exact linear scaling (sum/max=32.0000)"
multi_heap_rss,used_post_teardown_max_per_heap,on,threads=1,260046848,bytes,"finite 256 MiB default budget resolved and verified, admission-proven"
multi_heap_rss,used_post_teardown_max_per_heap,on,threads=8,260046848,bytes,"identical per-heap value at 8 threads -- exact linear scaling (sum/max=8.0000)"
multi_heap_rss,used_post_teardown_max_per_heap,on,threads=32,260046848,bytes,"identical per-heap value at 32 threads -- exact linear scaling (sum/max=32.0000)"
multi_heap_rss,extension_materialised_count,on,threads=1,1,count,"1/1 heaps materialised the sidecar"
multi_heap_rss,extension_materialised_count,on,threads=8,8,count,"8/8 heaps materialised the sidecar"
multi_heap_rss,extension_materialised_count,on,threads=32,32,count,"32/32 heaps materialised the sidecar"
multi_heap_rss,rss_post_kib_per_heap,off,threads=1,412932,kib,"~403 MiB/heap"
multi_heap_rss,rss_post_kib_per_heap,off,threads=8,410112,kib,"3280892/8 = ~400.5 MiB/heap (CORRECTED 2026-07-31, R31-14a/task #483: note originally read '~410 MiB/heap (400.5 rounded)', a KiB/MiB unit slip -- 410112 KiB = 400.5 MiB, not ~410 MiB; value column unchanged)"
multi_heap_rss,rss_post_kib_per_heap,off,threads=32,409834,kib,"13114692/32 = ~400 MiB/heap"
multi_heap_rss,rss_post_kib_per_heap,on,threads=1,240876,kib,"~235 MiB/heap"
multi_heap_rss,rss_post_kib_per_heap,on,threads=8,238066,kib,"1904528/8 = ~232.5 MiB/heap"
multi_heap_rss,rss_post_kib_per_heap,on,threads=32,237789,kib,"7609268/32 = ~232.2 MiB/heap"
