base_commit,immutable_tree_sha,landing_commit,artifact,metric,arm_or_comparison,n_or_label,value,unit,notes
ac7845d0ed90ca4ba34e2abbc2ba9a4113ef1d36,a35dd00d9336a88a28059809391e2f44d0fe900c,4f897237cf6e4bcbe6a722f5c124890e15f07e82,narrow_n1_off_vs_on,mean_delta_ns_arithmetic_mean,off_minus_on,n=20,-61055.000,ns,"t=-11.631 df=19 crit=2.101 sign off-faster=19/20 on-faster=1/20 significant=true"
ac7845d0ed90ca4ba34e2abbc2ba9a4113ef1d36,a35dd00d9336a88a28059809391e2f44d0fe900c,4f897237cf6e4bcbe6a722f5c124890e15f07e82,narrow_n1_same_vs_same_control,mean_delta_ns_arithmetic_mean,off(A-slot)_minus_off(B-slot),n=20,-5837.500,ns,"t=-1.989 df=19 crit=2.101 sign off(A-slot)-faster=13/20 off(B-slot)-faster=7/20 significant=false"
ac7845d0ed90ca4ba34e2abbc2ba9a4113ef1d36,a35dd00d9336a88a28059809391e2f44d0fe900c,4f897237cf6e4bcbe6a722f5c124890e15f07e82,narrow_n2_off_vs_on,mean_delta_ns_arithmetic_mean,off_minus_on,n=20,-100085.000,ns,"t=-7.757 df=19 crit=2.101 sign off-faster=19/20 on-faster=1/20 significant=true"
ac7845d0ed90ca4ba34e2abbc2ba9a4113ef1d36,a35dd00d9336a88a28059809391e2f44d0fe900c,4f897237cf6e4bcbe6a722f5c124890e15f07e82,narrow_n4_off_vs_on,mean_delta_ns_arithmetic_mean,off_minus_on,n=20,-187027.500,ns,"t=-13.546 df=19 crit=2.101 sign off-faster=20/20 on-faster=0/20 significant=true"
ac7845d0ed90ca4ba34e2abbc2ba9a4113ef1d36,a35dd00d9336a88a28059809391e2f44d0fe900c,4f897237cf6e4bcbe6a722f5c124890e15f07e82,narrow_n4_same_vs_same_control,mean_delta_ns_arithmetic_mean,off(A-slot)_minus_off(B-slot),n=20,-7120.000,ns,"t=-0.528 df=19 crit=2.101 sign off(A-slot)-faster=13/20 off(B-slot)-faster=7/20 significant=false"
ac7845d0ed90ca4ba34e2abbc2ba9a4113ef1d36,a35dd00d9336a88a28059809391e2f44d0fe900c,4f897237cf6e4bcbe6a722f5c124890e15f07e82,scan_isolation_off_vs_on,mean_delta_ns_arithmetic_mean,off_minus_on,n=20,-319.625,ns,"t=-29.263 df=19 crit=2.101 sign off-faster=20/20 on-faster=0/20 significant=true"
ac7845d0ed90ca4ba34e2abbc2ba9a4113ef1d36,a35dd00d9336a88a28059809391e2f44d0fe900c,4f897237cf6e4bcbe6a722f5c124890e15f07e82,scan_isolation_same_vs_same_control,mean_delta_ns_arithmetic_mean,off(A-slot)_minus_off(B-slot),n=20,-0.725,ns,"t=-0.556 df=19 crit=2.101 sign off(A-slot)-faster=11/20 off(B-slot)-faster=9/20 significant=false"
ac7845d0ed90ca4ba34e2abbc2ba9a4113ef1d36,a35dd00d9336a88a28059809391e2f44d0fe900c,4f897237cf6e4bcbe6a722f5c124890e15f07e82,matched_state_proof,segments_reserved_total_delta,off,n=1,9,count,"baseline=1 pre_timing=10 n_launches=40 identical-across-launches=1"
ac7845d0ed90ca4ba34e2abbc2ba9a4113ef1d36,a35dd00d9336a88a28059809391e2f44d0fe900c,4f897237cf6e4bcbe6a722f5c124890e15f07e82,matched_state_proof,large_cache_used_bytes_pre_timing,off,n=1,4278190080,bytes,"oracle_total_slots=8"
ac7845d0ed90ca4ba34e2abbc2ba9a4113ef1d36,a35dd00d9336a88a28059809391e2f44d0fe900c,4f897237cf6e4bcbe6a722f5c124890e15f07e82,matched_state_proof,segments_reserved_total_delta,on,n=1,9,count,"baseline=1 pre_timing=10 n_launches=40 identical-across-launches=1"
