base_commit,immutable_tree_sha,landing_commit,artifact,metric,arm_or_comparison,size_or_label,reps_or_n,value,unit,notes
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_virgin_off,4k,15,250.8,ns,"p50=156.2 min=143.8 max=1168.8 refill_n=16 mean_hits=15 expected_hits=15 mask_oracle=NA"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_virgin_off,16k,15,481.7,ns,"p50=450 min=393.8 max=656.2 refill_n=4 mean_hits=12 expected_hits=12 mask_oracle=NA"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_virgin_off,64k,15,674.2,ns,"p50=643.8 min=600 max=787.5 refill_n=1 mean_hits=0 expected_hits=0 mask_oracle=NA"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_virgin_off,128k,15,1422.9,ns,"p50=1375 min=1193.8 max=1725 refill_n=1 mean_hits=0 expected_hits=0 mask_oracle=NA"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_recycled_off,4k,15,25.0,ns,"p50=25 min=12.5 max=50 refill_n=16 mean_hits=16 expected_hits=16 mask_oracle=NA"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_recycled_off,16k,15,25.4,ns,"p50=25 min=25 max=31.2 refill_n=4 mean_hits=16 expected_hits=16 mask_oracle=NA"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_recycled_off,64k,15,26.7,ns,"p50=25 min=25 max=31.2 refill_n=1 mean_hits=16 expected_hits=16 mask_oracle=NA"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_recycled_off,128k,15,27.5,ns,"p50=25 min=18.8 max=31.2 refill_n=1 mean_hits=16 expected_hits=16 mask_oracle=NA"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,realloc_off,4k_to_8k,200,234.0,ns,"p50=200 (confirmatory cell, not a full sweep)"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_virgin_on,4k,15,375.0,ns,"p50=187.5 min=150 max=1975 refill_n=16 mean_hits=15 expected_hits=15 mask_oracle=PASS"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_virgin_on,16k,15,602.9,ns,"p50=506.2 min=412.5 max=1225 refill_n=4 mean_hits=12 expected_hits=12 mask_oracle=PASS"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_virgin_on,64k,15,672.9,ns,"p50=625 min=512.5 max=981.2 refill_n=1 mean_hits=0 expected_hits=0 mask_oracle=PASS"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_virgin_on,128k,15,1363.8,ns,"p50=1356.2 min=1287.5 max=1456.2 refill_n=1 mean_hits=0 expected_hits=0 mask_oracle=PASS"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_recycled_on,4k,15,27.5,ns,"p50=25 min=18.8 max=50 refill_n=16 mean_hits=16 expected_hits=16 mask_oracle=NA"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_recycled_on,16k,15,23.3,ns,"p50=25 min=18.8 max=31.2 refill_n=4 mean_hits=16 expected_hits=16 mask_oracle=NA"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_recycled_on,64k,15,21.2,ns,"p50=18.8 min=12.5 max=31.2 refill_n=1 mean_hits=16 expected_hits=16 mask_oracle=NA"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,alloc_recycled_on,128k,15,27.1,ns,"p50=25 min=12.5 max=93.8 refill_n=1 mean_hits=16 expected_hits=16 mask_oracle=NA"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate,ns_per_op_arithmetic_mean,realloc_on,4k_to_8k,200,257.5,ns,"p50=200 (confirmatory cell, not a full sweep)"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_wallclock_paired_ab,mean_delta_ns_arithmetic_mean,off_minus_on,4k_recycled,20,-1.100,ns,"t=-3.240 df=19 crit=2.101 sign off-faster=17/20 on-faster=2/20 significant=true"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_wallclock_paired_ab,mean_delta_ns_arithmetic_mean,off(A-slot)_minus_off(B-slot)_control,4k_recycled,20,0.075,ns,"t=0.101 df=19 crit=2.101 significant=false"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_wallclock_paired_ab,relative_cost_pct,on_extra_over_off_mean,4k_recycled,20,8.19,pct,"abs(mean_delta) / off-arm mean ns_per_round, asserted in-script to be in (0,50)%"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate_delta,pct_delta_off_to_on,alloc_virgin_run1,4k,,49.5,pct,"off_ns=250.8 on_ns=375"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate_delta,pct_delta_off_to_on,alloc_virgin_run2,4k,,-30.5,pct,"off_ns=371.2 on_ns=257.9"
4ccd18b02d2558a173b8d4bb1d55b4915a835702,2f2876de521a1104bdfcbdaf61ee279567b673f7,c72a27b,r32_0_bench_gate_delta,pct_delta_off_to_on,alloc_virgin_run1,16k,,25.2,pct,"off_ns=481.7 on_ns=602.9"
