k,comparison,arm_a,arm_b,n,mean_a_ns_per_op,mean_b_ns_per_op,delta_ns_per_op,pct_change,t,crit,significant,sign_a_faster,sign_b_faster,sign_ties,provenance_file
4,before_vs_after,before,after,20,31.466,28.607,2.8591,-9.09,1.593,2.101,false,7,13,0,_raw_r33_5_k4_before_after.log
4,before_control,before,before,20,26.835,27.371,-0.5367,2.00,-0.667,2.101,false,10,10,0,_raw_r33_5_k4_before_control.log
4,after_control,after,after,20,27.241,26.486,0.7548,-2.77,1.147,2.101,false,9,10,1,_raw_r33_5_k4_after_control.log
8,before_vs_after,before,after,20,31.804,31.506,0.2984,-0.94,0.084,2.101,false,7,13,0,_raw_r33_5_k8_before_after.log
8,before_control,before,before,20,30.834,31.234,-0.4001,1.30,-0.403,2.101,false,13,7,0,_raw_r33_5_k8_before_control.log
8,after_control,after,after,20,27.253,28.054,-0.8006,2.94,-0.852,2.101,false,11,9,0,_raw_r33_5_k8_after_control.log
16,before_vs_after,before,after,20,33.766,32.871,0.8950,-2.65,0.289,2.101,false,9,11,0,_raw_r33_5_k16_before_after.log
16,before_control,before,before,20,31.415,31.593,-0.1778,0.57,-0.156,2.101,false,9,11,0,_raw_r33_5_k16_before_control.log
16,after_control,after,after,20,31.898,32.522,-0.6245,1.96,-0.371,2.101,false,10,10,0,_raw_r33_5_k16_after_control.log
24,before_vs_after,before,after,20,32.490,33.489,-0.9989,3.07,-0.323,2.101,false,12,8,0,_raw_r33_5_k24_before_after.log
24,before_control,before,before,20,30.186,30.314,-0.1279,0.42,-0.185,2.101,false,8,12,0,_raw_r33_5_k24_before_control.log
24,after_control,after,after,20,30.517,28.813,1.7041,-5.58,0.922,2.101,false,11,9,0,_raw_r33_5_k24_after_control.log
32,before_vs_after,before,after,20,31.749,36.878,-5.1293,16.16,-1.637,2.101,false,11,9,0,_raw_r33_5_k32_before_after.log
32,before_control,before,before,20,29.597,29.686,-0.0887,0.30,-0.117,2.101,false,7,13,0,_raw_r33_5_k32_before_control.log
32,after_control,after,after,20,30.192,29.954,0.2383,-0.79,0.259,2.101,false,8,12,0,_raw_r33_5_k32_after_control.log
48,before_vs_after,before,after,20,30.630,30.834,-0.2032,0.66,-0.183,2.101,false,11,9,0,_raw_r33_5_k48_before_after.log
48,before_control,before,before,20,29.471,29.256,0.2148,-0.73,0.720,2.101,false,10,10,0,_raw_r33_5_k48_before_control.log
48,after_control,after,after,20,30.265,30.373,-0.1084,0.36,-0.259,2.101,false,9,11,0,_raw_r33_5_k48_after_control.log
64,before_vs_after,before,after,20,28.585,29.137,-0.5517,1.93,-1.729,2.101,false,13,7,0,_raw_r33_5_k64_before_after.log
64,before_control,before,before,20,28.614,31.001,-2.3865,8.34,-1.248,2.101,false,11,9,0,_raw_r33_5_k64_before_control.log
64,after_control,after,after,20,29.427,28.929,0.4978,-1.69,1.361,2.101,false,8,12,0,_raw_r33_5_k64_after_control.log
