gate,cpu,os,feature_set,arm,own_cache_size,k,repetitions,tier1_hits_last,tier1_misses_last,tier1_hit_rate_pct_median,ns_per_op_median,landing_commit
own_cache_tier1_thrash,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production bench-internals,before,4,4,7,0,32768,0.0000,23.990,ce3f44da0a60d0f5c71b0c8bb26c1992726dccc4
own_cache_tier1_thrash,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production bench-internals,after,16,4,7,32764,4,99.9878,26.099,ce3f44da0a60d0f5c71b0c8bb26c1992726dccc4
own_cache_tier1_thrash,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production bench-internals,before,4,8,7,0,65536,0.0000,27.309,ce3f44da0a60d0f5c71b0c8bb26c1992726dccc4
own_cache_tier1_thrash,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production bench-internals,after,16,8,7,65528,8,99.9878,26.382,ce3f44da0a60d0f5c71b0c8bb26c1992726dccc4
own_cache_tier1_thrash,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production bench-internals,before,4,16,7,0,131072,0.0000,27.734,ce3f44da0a60d0f5c71b0c8bb26c1992726dccc4
own_cache_tier1_thrash,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production bench-internals,after,16,16,7,0,131072,0.0000,28.930,ce3f44da0a60d0f5c71b0c8bb26c1992726dccc4
own_cache_tier1_thrash,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production bench-internals,before,4,24,7,0,196608,0.0000,28.718,ce3f44da0a60d0f5c71b0c8bb26c1992726dccc4
own_cache_tier1_thrash,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production bench-internals,after,16,24,7,0,196608,0.0000,28.428,ce3f44da0a60d0f5c71b0c8bb26c1992726dccc4
own_cache_tier1_thrash,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production bench-internals,before,4,32,7,0,262144,0.0000,27.762,ce3f44da0a60d0f5c71b0c8bb26c1992726dccc4
own_cache_tier1_thrash,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production bench-internals,after,16,32,7,24573,237571,0.0000,28.323,ce3f44da0a60d0f5c71b0c8bb26c1992726dccc4
own_cache_tier1_thrash,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production bench-internals,before,4,48,7,0,393216,0.0000,25.731,ce3f44da0a60d0f5c71b0c8bb26c1992726dccc4
own_cache_tier1_thrash,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production bench-internals,after,16,48,7,0,393216,0.0000,28.165,ce3f44da0a60d0f5c71b0c8bb26c1992726dccc4
own_cache_tier1_thrash,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production bench-internals,before,4,64,7,0,524288,0.0000,26.554,ce3f44da0a60d0f5c71b0c8bb26c1992726dccc4
own_cache_tier1_thrash,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production bench-internals,after,16,64,7,0,524288,0.0000,26.145,ce3f44da0a60d0f5c71b0c8bb26c1992726dccc4
