base_commit,immutable_tree_sha,landing_commit,artifact,metric,arm_or_comparison,n_or_label,value,unit,notes
e784dbc537752c4b4537a043130fc8da2b2573b1,705cb3487c556e1bd3897644c1bae9ac1f3b1bd2,e784dbc537752c4b4537a043130fc8da2b2573b1,wallclock_before_vs_after,mean_delta_ns_arithmetic_mean,before_minus_after,n=20,0.800,ns,"t=0.492 df=19 crit=2.101 sign before-faster=8/20 after-faster=12/20 significant=false"
e784dbc537752c4b4537a043130fc8da2b2573b1,705cb3487c556e1bd3897644c1bae9ac1f3b1bd2,e784dbc537752c4b4537a043130fc8da2b2573b1,wallclock_same_vs_same_control,mean_delta_ns_arithmetic_mean,after(A-slot)_minus_after(B-slot),n=20,-0.400,ns,"t=-0.394 df=19 crit=2.101 sign after(A-slot)-faster=11/20 after(B-slot)-faster=9/20 significant=false"
e784dbc537752c4b4537a043130fc8da2b2573b1,705cb3487c556e1bd3897644c1bae9ac1f3b1bd2,e784dbc537752c4b4537a043130fc8da2b2573b1,killgate,instructions_raw,before_to_after,small_churn_16b,1,Ir_delta,"before=9038 after=9039"
e784dbc537752c4b4537a043130fc8da2b2573b1,705cb3487c556e1bd3897644c1bae9ac1f3b1bd2,e784dbc537752c4b4537a043130fc8da2b2573b1,killgate,instructions_raw,before_to_after,aligned_churn_640b_a128,1,Ir_delta,"before=8974 after=8975"
e784dbc537752c4b4537a043130fc8da2b2573b1,705cb3487c556e1bd3897644c1bae9ac1f3b1bd2,e784dbc537752c4b4537a043130fc8da2b2573b1,killgate,instructions_raw,before_to_after,churn_256b,1,Ir_delta,"before=9038 after=9039"
e784dbc537752c4b4537a043130fc8da2b2573b1,705cb3487c556e1bd3897644c1bae9ac1f3b1bd2,e784dbc537752c4b4537a043130fc8da2b2573b1,killgate,instructions_raw,before_to_after,cold_alloc_free_256x16b,1,Ir_delta,"before=51548 after=51549"
e784dbc537752c4b4537a043130fc8da2b2573b1,705cb3487c556e1bd3897644c1bae9ac1f3b1bd2,e784dbc537752c4b4537a043130fc8da2b2573b1,killgate,instructions_raw,before_to_after,recycle_alloc_free_256x16b,-6,Ir_delta,"before=100764 after=100758"
e784dbc537752c4b4537a043130fc8da2b2573b1,705cb3487c556e1bd3897644c1bae9ac1f3b1bd2,e784dbc537752c4b4537a043130fc8da2b2573b1,free_slot_search_ir,instructions_raw,prefill_before,shared_prefix,7924,Ir,"decoy-population-only arm, iai-callgrind"
e784dbc537752c4b4537a043130fc8da2b2573b1,705cb3487c556e1bd3897644c1bae9ac1f3b1bd2,e784dbc537752c4b4537a043130fc8da2b2573b1,free_slot_search_ir,instructions_raw,prefill_after,shared_prefix,7924,Ir,"decoy-population-only arm, iai-callgrind"
e784dbc537752c4b4537a043130fc8da2b2573b1,705cb3487c556e1bd3897644c1bae9ac1f3b1bd2,e784dbc537752c4b4537a043130fc8da2b2573b1,free_slot_search_ir,instructions_raw,cycle_before,n_rounds=8,11045,Ir,"prefix + N admission rounds, iai-callgrind"
e784dbc537752c4b4537a043130fc8da2b2573b1,705cb3487c556e1bd3897644c1bae9ac1f3b1bd2,e784dbc537752c4b4537a043130fc8da2b2573b1,free_slot_search_ir,instructions_raw,cycle_after,n_rounds=8,11005,Ir,"prefix + N admission rounds, iai-callgrind"
e784dbc537752c4b4537a043130fc8da2b2573b1,705cb3487c556e1bd3897644c1bae9ac1f3b1bd2,e784dbc537752c4b4537a043130fc8da2b2573b1,free_slot_search_ir,isolated_marginal_ir_total,before,n_rounds=8,3121,Ir,"cycle_before - prefill_before (shared-prefix subtraction)"
e784dbc537752c4b4537a043130fc8da2b2573b1,705cb3487c556e1bd3897644c1bae9ac1f3b1bd2,e784dbc537752c4b4537a043130fc8da2b2573b1,free_slot_search_ir,isolated_marginal_ir_total,after,n_rounds=8,3081,Ir,"cycle_after - prefill_after (shared-prefix subtraction)"
e784dbc537752c4b4537a043130fc8da2b2573b1,705cb3487c556e1bd3897644c1bae9ac1f3b1bd2,e784dbc537752c4b4537a043130fc8da2b2573b1,free_slot_search_ir,isolated_marginal_ir_per_round,delta_after_minus_before,n_rounds=8,-5.000,Ir/round,"total delta=-40 over 8 rounds, asserted <= 0 in-script"
