base_commit,immutable_tree_sha,landing_commit,artifact,metric,arm,repetition,value,unit,notes
a632dd4bcb2d12a5b083fbd60058678feb63005c,6ca05075b66dc0901134cca6de40888850621603,2ea920b98fbf5f75b9a92d74ed32fd8e96d04c65,r32_9_wallclock_smoke_test,ns_per_op,threads_1,0,51.099,ns,"min_table_count_observed=81 oracle_pass=1 config_conflicts_delta=0 total_ops=8192"
a632dd4bcb2d12a5b083fbd60058678feb63005c,6ca05075b66dc0901134cca6de40888850621603,2ea920b98fbf5f75b9a92d74ed32fd8e96d04c65,r32_9_wallclock_smoke_test,ns_per_op,threads_1,1,48.523,ns,"min_table_count_observed=81 oracle_pass=1 config_conflicts_delta=0 total_ops=8192"
a632dd4bcb2d12a5b083fbd60058678feb63005c,6ca05075b66dc0901134cca6de40888850621603,2ea920b98fbf5f75b9a92d74ed32fd8e96d04c65,r32_9_wallclock_smoke_test,ns_per_op,threads_1,2,46.936,ns,"min_table_count_observed=81 oracle_pass=1 config_conflicts_delta=0 total_ops=8192"
a632dd4bcb2d12a5b083fbd60058678feb63005c,6ca05075b66dc0901134cca6de40888850621603,2ea920b98fbf5f75b9a92d74ed32fd8e96d04c65,r32_9_wallclock_smoke_test,ns_per_op,threads_1,3,42.334,ns,"min_table_count_observed=81 oracle_pass=1 config_conflicts_delta=0 total_ops=8192"
a632dd4bcb2d12a5b083fbd60058678feb63005c,6ca05075b66dc0901134cca6de40888850621603,2ea920b98fbf5f75b9a92d74ed32fd8e96d04c65,r32_9_wallclock_smoke_test,ns_per_op,threads_1,4,47.742,ns,"min_table_count_observed=81 oracle_pass=1 config_conflicts_delta=0 total_ops=8192"
a632dd4bcb2d12a5b083fbd60058678feb63005c,6ca05075b66dc0901134cca6de40888850621603,2ea920b98fbf5f75b9a92d74ed32fd8e96d04c65,r32_9_wallclock_smoke_test,ns_per_op,threads_4,0,58.215,ns,"min_table_count_observed=81 oracle_pass=1 config_conflicts_delta=0 total_ops=32768"
a632dd4bcb2d12a5b083fbd60058678feb63005c,6ca05075b66dc0901134cca6de40888850621603,2ea920b98fbf5f75b9a92d74ed32fd8e96d04c65,r32_9_wallclock_smoke_test,ns_per_op,threads_4,1,59.546,ns,"min_table_count_observed=81 oracle_pass=1 config_conflicts_delta=0 total_ops=32768"
a632dd4bcb2d12a5b083fbd60058678feb63005c,6ca05075b66dc0901134cca6de40888850621603,2ea920b98fbf5f75b9a92d74ed32fd8e96d04c65,r32_9_wallclock_smoke_test,ns_per_op,threads_4,2,52.881,ns,"min_table_count_observed=81 oracle_pass=1 config_conflicts_delta=0 total_ops=32768"
a632dd4bcb2d12a5b083fbd60058678feb63005c,6ca05075b66dc0901134cca6de40888850621603,2ea920b98fbf5f75b9a92d74ed32fd8e96d04c65,r32_9_wallclock_smoke_test,ns_per_op,threads_4,3,95.325,ns,"min_table_count_observed=81 oracle_pass=1 config_conflicts_delta=0 total_ops=32768"
a632dd4bcb2d12a5b083fbd60058678feb63005c,6ca05075b66dc0901134cca6de40888850621603,2ea920b98fbf5f75b9a92d74ed32fd8e96d04c65,r32_9_wallclock_smoke_test,ns_per_op,threads_4,4,59.436,ns,"min_table_count_observed=81 oracle_pass=1 config_conflicts_delta=0 total_ops=32768"
a632dd4bcb2d12a5b083fbd60058678feb63005c,6ca05075b66dc0901134cca6de40888850621603,2ea920b98fbf5f75b9a92d74ed32fd8e96d04c65,r32_9_wallclock_smoke_test_aggregate,ns_per_op_median,threads_1,,47.742,ns,"n=5 range=[42.3,51.1] min_table_count=81"
a632dd4bcb2d12a5b083fbd60058678feb63005c,6ca05075b66dc0901134cca6de40888850621603,2ea920b98fbf5f75b9a92d74ed32fd8e96d04c65,r32_9_wallclock_smoke_test_aggregate,ns_per_op_median,threads_4,,59.436,ns,"n=5 range=[52.9,95.3] min_table_count=81"
