profile,events,intervals,headroom_bytes,obj_bytes,decay_interval_ms,stride,throttled_used_baseline_mib,unthrottled_used_baseline_mib,throttled_final_used_mib,unthrottled_final_used_mib,peak_gap_bytes,peak_gap_mib,peak_gap_segments,peak_gap_interval,final_gap_bytes,final_gap_mib,throttled_guard_delta,unthrottled_guard_delta,ops_late,seconds_late_ms,throttled_released_delta,unthrottled_released_delta,throttled_rss_delta_kib,unthrottled_rss_delta_kib,reps,cpu,os,feature_set,source_identity,base_commit
allocfree,1,40,16777216,2097152,100,64,32.00,32.00,28.00,16.00,16777216,16.00,4.00,3,12582912,12.00,1,80,79,7900,1,4,-2032,-8188,1,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production alloc-stats bench-internals internals,bb67abc538d5570e45fba42d8613470838934a2f,0e29fc2007fd5d3330216e0950ac234860e0624d
allocfree,2,40,16777216,2097152,100,64,32.00,32.00,24.00,16.00,16777216,16.00,4.00,3,8388608,8.00,2,160,158,15800,2,4,-4084,-8188,1,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production alloc-stats bench-internals internals,bb67abc538d5570e45fba42d8613470838934a2f,0e29fc2007fd5d3330216e0950ac234860e0624d
allocfree,4,40,16777216,2097152,100,64,32.00,32.00,16.00,16.00,16777216,16.00,4.00,3,0,0.00,4,320,316,31600,4,4,-8188,-8188,1,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production alloc-stats bench-internals internals,bb67abc538d5570e45fba42d8613470838934a2f,0e29fc2007fd5d3330216e0950ac234860e0624d
allocfree,8,40,16777216,2097152,100,64,32.00,32.00,16.00,16.00,12582912,12.00,3.00,2,0,0.00,4,640,636,63600,4,4,-8188,-8188,1,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production alloc-stats bench-internals internals,bb67abc538d5570e45fba42d8613470838934a2f,0e29fc2007fd5d3330216e0950ac234860e0624d
deallocate,1,40,16777216,2097152,100,64,20.00,20.00,32.00,24.00,8388608,8.00,2.00,2,8388608,8.00,1,40,39,3900,37,39,-75896,-80000,1,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production alloc-stats bench-internals internals,bb67abc538d5570e45fba42d8613470838934a2f,0e29fc2007fd5d3330216e0950ac234860e0624d
deallocate,2,40,16777216,2097152,100,64,20.00,20.00,32.00,32.00,0,0.00,0.00,-1,0,0.00,2,80,78,7800,77,77,-157976,-157976,1,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production alloc-stats bench-internals internals,bb67abc538d5570e45fba42d8613470838934a2f,0e29fc2007fd5d3330216e0950ac234860e0624d
deallocate,4,40,16777216,2097152,100,64,20.00,20.00,32.00,32.00,0,0.00,0.00,-1,0,0.00,3,160,157,15700,157,157,-322136,-322136,1,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production alloc-stats bench-internals internals,bb67abc538d5570e45fba42d8613470838934a2f,0e29fc2007fd5d3330216e0950ac234860e0624d
deallocate,8,40,16777216,2097152,100,64,20.00,20.00,32.00,32.00,0,0.00,0.00,-1,0,0.00,5,320,315,31500,317,317,-650456,-650456,1,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production alloc-stats bench-internals internals,bb67abc538d5570e45fba42d8613470838934a2f,0e29fc2007fd5d3330216e0950ac234860e0624d
allocate,1,40,16777216,2097152,100,64,32.00,32.00,0.00,0.00,8388608,8.00,2.00,1,0,0.00,0,40,40,4000,0,2,144,-3948,1,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production alloc-stats bench-internals internals,bb67abc538d5570e45fba42d8613470838934a2f,0e29fc2007fd5d3330216e0950ac234860e0624d
allocate,2,40,16777216,2097152,100,64,32.00,32.00,0.00,0.00,8388608,8.00,2.00,1,0,0.00,0,80,80,8000,0,2,304,-3788,1,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production alloc-stats bench-internals internals,bb67abc538d5570e45fba42d8613470838934a2f,0e29fc2007fd5d3330216e0950ac234860e0624d
allocate,4,40,16777216,2097152,100,64,32.00,32.00,0.00,0.00,4194304,4.00,1.00,0,0,0.00,0,160,160,16000,0,1,624,-1420,1,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production alloc-stats bench-internals internals,bb67abc538d5570e45fba42d8613470838934a2f,0e29fc2007fd5d3330216e0950ac234860e0624d
allocate,8,40,16777216,2097152,100,64,32.00,32.00,0.00,0.00,0,0.00,0.00,-1,0,0.00,0,320,320,32000,0,1,1272,-772,1,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,production alloc-stats bench-internals internals,bb67abc538d5570e45fba42d8613470838934a2f,0e29fc2007fd5d3330216e0950ac234860e0624d
