# sparse regime (allocfree, events × 40 intervals × 2 arms)
events,intervals,peak_gap_bytes,peak_gap_mib,peak_gap_segments,peak_gap_interval,final_gap_bytes,final_gap_mib,final_gap_segments,intervals_at_gte3,intervals_at_gte3_pct,intervals_at_gte4,intervals_at_gte4_pct,throttled_final_used_mib,unthrottled_final_used_mib,throttled_guard_delta,unthrottled_guard_delta,throttled_released_delta,unthrottled_released_delta
1,40,16777216,16.00,4.00,2,4194304,4.00,1.00,29,72.5,28,70.0,20.00,16.00,1,80,3,4
2,40,16777216,16.00,4.00,2,4194304,4.00,1.00,14,35.0,13,32.5,20.00,16.00,1,160,3,4
4,40,16777216,16.00,4.00,2,0,0.00,0.00,6,15.0,5,12.5,16.00,16.00,2,320,4,4
8,40,16777216,16.00,4.00,2,0,0.00,0.00,2,5.0,1,2.5,16.00,16.00,2,640,4,4

# throughput regime (200K cycles × 2 arms × 7 reps, median)
arm,median_elapsed_ns,ns_per_cycle,guard_passed_delta,expected_calls,reps,delta_ns_per_cycle,delta_ns_per_call,pct_benefit
new-shape,16152700,80.7635,3125,400000,7,168.3805,84.1903,67.6
old-shape,49828800,249.144,400000,400000,7,168.3805,84.1903,67.6

# meta: cpu=Intel_Core_i7-11800H_2.30GHz, os=Windows_10_Pro_10.0.19045, feature_set=production alloc-stats bench-internals internals
# meta: source_identity=8b657703084f10aeadebe52f3302b63a965eac5a, base_commit=5c1142f5b128ef1134e397abd5139327f3135b86
