allocator,pattern,payload,samples,median_ns,min_ns,max_ns,mean_ns,stdev_ns,cv_pct,inplace_large_delta,inplace_small_delta,decline_delta,rss_bytes_after,commit_bytes_after
sefer,geometric_x2_4mib,copied,30,210100,173500,2188700,279007,362807,130.0,90,0,390,9211904,19517440
sefer,geometric_x2_4mib,untouched,30,257100,173000,340500,259137,52925,20.4,90,0,390,9211904,19517440
sefer,geometric_x2_1mib,copied,30,14100,13200,34900,14757,3820,25.9,60,0,360,9211904,19517440
sefer,geometric_x2_1mib,untouched,30,14000,13400,15100,14037,374,2.7,60,0,360,9211904,19517440
sefer,geometric_x1p5_1mib,copied,30,39300,35000,523700,56800,88358,155.6,90,0,630,9850880,20566016
sefer,geometric_x1p5_1mib,untouched,30,36100,33300,49500,36807,3068,8.3,90,0,630,9850880,20566016
sefer,geometric_x1p25_1mib,copied,30,20800,19900,237600,28260,39561,140.0,0,0,960,10113024,21356544
sefer,geometric_x1p25_1mib,untouched,30,20600,19900,24000,20683,738,3.6,0,0,960,10113024,21356544
sefer,shrink_grow_osc,copied,30,111000,104400,153000,113267,8462,7.5,150,0,450,10117120,21356544
sefer,shrink_grow_osc,untouched,30,113300,106400,154600,115593,8793,7.6,150,0,450,10117120,21356544
sefer,neighbour_pressure,copied,30,400,300,6100,610,1040,170.4,240,0,0,10129408,21356544
sefer,neighbour_pressure,untouched,30,400,200,900,397,122,30.7,240,0,0,10129408,21356544
mimalloc,geometric_x2_4mib,copied,30,444200,371500,730500,464200,71775,15.5,0,0,0,12427264,26021888
mimalloc,geometric_x2_4mib,untouched,30,388100,345900,542600,398730,46070,11.6,0,0,0,12427264,26021888
mimalloc,geometric_x2_1mib,copied,30,118200,104100,141200,118973,11032,9.3,0,0,0,12427264,26021888
mimalloc,geometric_x2_1mib,untouched,30,103500,76900,138100,101607,16439,16.2,0,0,0,12427264,26021888
mimalloc,geometric_x1p5_1mib,copied,30,240300,200600,1130600,274100,169066,61.7,0,0,0,14098432,27926528
mimalloc,geometric_x1p5_1mib,untouched,30,242300,200200,303900,242127,24896,10.3,0,0,0,14098432,27926528
mimalloc,geometric_x1p25_1mib,copied,30,43900,37200,110400,47637,14415,30.3,0,0,0,14176256,27926528
mimalloc,geometric_x1p25_1mib,untouched,30,53400,39800,59100,52940,3654,6.9,0,0,0,14176256,27926528
mimalloc,shrink_grow_osc,copied,30,102100,80400,131000,100440,13358,13.3,0,0,0,14176256,27926528
mimalloc,shrink_grow_osc,untouched,30,98300,82300,116100,96513,9502,9.8,0,0,0,14176256,27926528
mimalloc,neighbour_pressure,copied,30,1343900,1142700,1605000,1311853,144800,11.0,0,0,0,14180352,27926528
mimalloc,neighbour_pressure,untouched,30,1485900,1145800,1955500,1469727,224247,15.3,0,0,0,14180352,27926528
system,geometric_x2_4mib,copied,30,2958400,2414900,3767100,2998887,361492,12.1,0,0,0,4886528,2121728
system,geometric_x2_4mib,untouched,30,3277400,2522800,3594700,3215397,258556,8.0,0,0,0,4886528,2121728
system,geometric_x2_1mib,copied,30,774700,700400,927900,774767,49607,6.4,0,0,0,4886528,2121728
system,geometric_x2_1mib,untouched,30,953600,708600,1121100,930003,82544,8.9,0,0,0,4886528,2121728
system,geometric_x1p5_1mib,copied,30,530900,420200,1396500,731057,350301,47.9,0,0,0,5345280,2400256
system,geometric_x1p5_1mib,untouched,30,552700,416400,643000,544377,60417,11.1,0,0,0,5345280,2400256
system,geometric_x1p25_1mib,copied,30,11900,10300,57000,23443,17864,76.2,0,0,0,4165632,1613824
system,geometric_x1p25_1mib,untouched,30,11600,10000,14600,11670,690,5.9,0,0,0,4165632,1613824
system,shrink_grow_osc,copied,30,1806700,1334300,2256400,1755773,264982,15.1,0,0,0,4911104,2138112
system,shrink_grow_osc,untouched,30,1507400,1318000,1887600,1550873,176533,11.4,0,0,0,4927488,2138112
system,neighbour_pressure,copied,30,7552600,6291400,8032500,7481320,423978,5.7,0,0,0,5713920,2924544
system,neighbour_pressure,untouched,30,7536800,6738800,10274400,7603953,767438,10.1,0,0,0,5718016,2924544
