shape,allocator,samples,median_ns,min_ns,max_ns,mean_ns,stdev_ns,cv_pct,realloc_count_median
growth_4mib,sefer,40,9174650,7475400,12206200,9654755,1732588,17.9,20
growth_4mib,mimalloc,40,8700000,7658300,13807800,9429550,1811814,19.2,20
growth_4mib,system,40,12325000,9204700,21430000,12862343,2739040,21.3,20
growth_1mib,sefer,40,2439250,1816000,3031300,2418330,461608,19.1,18
growth_1mib,mimalloc,40,2747750,1903800,3071000,2545960,445613,17.5,18
growth_1mib,system,40,3251450,2380000,7894100,3306183,816721,24.7,18
shrink_grow_1mib,sefer,40,5540250,3603700,6444000,5067683,993721,19.6,20
shrink_grow_1mib,mimalloc,40,5644300,3887800,6388600,5370313,769791,14.3,20
shrink_grow_1mib,system,40,6742850,4625600,7924000,6457015,1029199,15.9,20
reserve_exact_geom,sefer,40,7996950,6316100,9376600,7817808,1061079,13.6,20
reserve_exact_geom,mimalloc,40,8537800,6499700,9424300,8194580,971759,11.9,20
reserve_exact_geom,system,40,11601050,8476400,12476700,11042648,1243556,11.3,20
