base_commit_sha,after_patch_sha256,feature_set,cpu,os,bench,before_ir,after_ir,delta_ir,kind,landing_commit
62e217fa1ca599d5903fb519c16ab9f0af55a7e0,64d6a1ab3c0a0d861e8d52574bdcd2610ea003bf4744d9e90df1d44b8a54cbc9,"production bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),alloc_magazine_prefill_only_16b,7455,8871,1416,"control (shared prefill prefix)",5df56d376735933b3fb6c0097f5984771afab276
62e217fa1ca599d5903fb519c16ab9f0af55a7e0,64d6a1ab3c0a0d861e8d52574bdcd2610ea003bf4744d9e90df1d44b8a54cbc9,"production bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),alloc_magazine_hit_only_16b,7813,9229,1416,"treatment (16 magazine hits via alloc)",5df56d376735933b3fb6c0097f5984771afab276
62e217fa1ca599d5903fb519c16ab9f0af55a7e0,64d6a1ab3c0a0d861e8d52574bdcd2610ea003bf4744d9e90df1d44b8a54cbc9,"production bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),small_churn_16b,8055,8810,755,"kill-gate (plain alloc, absolute Ir shifts w/ bootstrap)",5df56d376735933b3fb6c0097f5984771afab276
62e217fa1ca599d5903fb519c16ab9f0af55a7e0,64d6a1ab3c0a0d861e8d52574bdcd2610ea003bf4744d9e90df1d44b8a54cbc9,"production bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),churn_256b,8055,8810,755,"kill-gate (plain alloc, absolute Ir shifts w/ bootstrap)",5df56d376735933b3fb6c0097f5984771afab276
62e217fa1ca599d5903fb519c16ab9f0af55a7e0,64d6a1ab3c0a0d861e8d52574bdcd2610ea003bf4744d9e90df1d44b8a54cbc9,"production bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),aligned_churn_640b_a128,7991,8746,755,"kill-gate (plain alloc, absolute Ir shifts w/ bootstrap)",5df56d376735933b3fb6c0097f5984771afab276
62e217fa1ca599d5903fb519c16ab9f0af55a7e0,64d6a1ab3c0a0d861e8d52574bdcd2610ea003bf4744d9e90df1d44b8a54cbc9,"production bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),cold_alloc_free_256x16b,50468,50968,500,"kill-gate (carve path, absolute Ir shifts w/ bootstrap)",5df56d376735933b3fb6c0097f5984771afab276
62e217fa1ca599d5903fb519c16ab9f0af55a7e0,64d6a1ab3c0a0d861e8d52574bdcd2610ea003bf4744d9e90df1d44b8a54cbc9,"production bench-internals",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),large_alloc_free_cycle,3312,4080,768,"bootstrap proxy (process-wide one-time init cost, B)",5df56d376735933b3fb6c0097f5984771afab276
62e217fa1ca599d5903fb519c16ab9f0af55a7e0,64d6a1ab3c0a0d861e8d52574bdcd2610ea003bf4744d9e90df1d44b8a54cbc9,"production bench-internals virgin-zero-skip",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),alloc_magazine_prefill_only_16b,7832,9302,1470,"control (shared prefill prefix)",5df56d376735933b3fb6c0097f5984771afab276
62e217fa1ca599d5903fb519c16ab9f0af55a7e0,64d6a1ab3c0a0d861e8d52574bdcd2610ea003bf4744d9e90df1d44b8a54cbc9,"production bench-internals virgin-zero-skip",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),alloc_magazine_hit_only_16b,8238,9708,1470,"treatment (16 magazine hits via alloc)",5df56d376735933b3fb6c0097f5984771afab276
62e217fa1ca599d5903fb519c16ab9f0af55a7e0,64d6a1ab3c0a0d861e8d52574bdcd2610ea003bf4744d9e90df1d44b8a54cbc9,"production bench-internals virgin-zero-skip",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),alloc_zeroed_magazine_prefill_only_16b,7832,9302,1470,"control (shared prefill prefix, calloc-shaped)",5df56d376735933b3fb6c0097f5984771afab276
62e217fa1ca599d5903fb519c16ab9f0af55a7e0,64d6a1ab3c0a0d861e8d52574bdcd2610ea003bf4744d9e90df1d44b8a54cbc9,"production bench-internals virgin-zero-skip",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),alloc_zeroed_magazine_hit_only_16b,8431,9901,1470,"treatment (16 magazine hits via alloc_zeroed)",5df56d376735933b3fb6c0097f5984771afab276
62e217fa1ca599d5903fb519c16ab9f0af55a7e0,64d6a1ab3c0a0d861e8d52574bdcd2610ea003bf4744d9e90df1d44b8a54cbc9,"production bench-internals virgin-zero-skip",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),small_churn_16b,8437,9241,804,"kill-gate (plain alloc, absolute Ir shifts w/ bootstrap)",5df56d376735933b3fb6c0097f5984771afab276
62e217fa1ca599d5903fb519c16ab9f0af55a7e0,64d6a1ab3c0a0d861e8d52574bdcd2610ea003bf4744d9e90df1d44b8a54cbc9,"production bench-internals virgin-zero-skip",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),churn_256b,8437,9241,804,"kill-gate (plain alloc, absolute Ir shifts w/ bootstrap)",5df56d376735933b3fb6c0097f5984771afab276
62e217fa1ca599d5903fb519c16ab9f0af55a7e0,64d6a1ab3c0a0d861e8d52574bdcd2610ea003bf4744d9e90df1d44b8a54cbc9,"production bench-internals virgin-zero-skip",Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),large_alloc_free_cycle,3312,4129,817,"bootstrap proxy (process-wide one-time init cost, B)",5df56d376735933b3fb6c0097f5984771afab276
