bench,green_ir,red_ir,delta_ir,pct_of_green
dealloc_flush_class_only_16b_prefix,3889,5383,1494,38.42
alloc_clear_magazine_only_16b_prefix,4282,5796,1514,35.36
dealloc_flush_class_only_16b,4338,5832,1494,34.44
alloc_clear_magazine_only_16b,4477,5991,1514,33.82
large_alloc_free_cycle,3308,4132,824,24.91
alloc_magazine_prefill_only_16b,7450,9058,1608,21.58
dealloc_prealloc_only_16b,7003,8446,1443,20.61
alloc_magazine_hit_only_16b,7808,9416,1608,20.59
dealloc_free_only_16b_n1,7058,8502,1444,20.46
dealloc_contains_base_probe_only_16b,8104,9739,1635,20.18
decomp_full_cycle_8x,7844,9409,1565,19.95
dealloc_free_only_16b_n8,7367,8826,1459,19.80
dealloc_free_only_16b_n9,7410,8871,1461,19.72
dealloc_free_only_16b_n16,7711,9186,1475,19.13
dealloc_segment_base_of_ptr_probe_only_16b,7581,9024,1443,19.03
dealloc_free_only_16b_n17,8292,9771,1479,17.84
dealloc_hash_contains_only_probe_16b,8349,9792,1443,17.28
dealloc_free_only_16b_n32,9471,10982,1511,15.95
aligned_churn_640b_a128,7987,8971,984,12.32
small_churn_16b,8051,9035,984,12.22
medium_class_dealloc_churn_16b,8051,9035,984,12.22
churn_256b,8051,9035,984,12.22
dealloc_free_only_16b,12983,14566,1583,12.19
dealloc_own_thread_body_only_16b,12422,13914,1492,12.01
churn_write_256b,8307,9291,984,11.85
small_churn_16b_2n,12467,13643,1176,9.43
oscillating_live_set_16b,25729,27823,2094,8.14
multiseg_cold_256k,25894,27247,1353,5.23
seg_cycle_decommit_256k,62388,64701,2313,3.71
cold_alloc_only_256x16b,22318,22916,598,2.68
cold_alloc_free_256x16b,50464,51545,1081,2.14
cold_alloc_free_256x64b,50464,51545,1081,2.14
recycle_alloc_free_256x16b,98943,100754,1811,1.83
recycle_alloc_free_256x64b,98943,100754,1811,1.83
dealloc_free_only_1088_16b_n1024,199210,202120,2910,1.46
cold_alloc_free_256x16b_2n,102973,104326,1353,1.31
recycle_alloc_only_256x16b,70610,71526,916,1.30
decomp_os_roundtrip_8x,1394,1410,16,1.15
dealloc_free_only_1088_16b_n256,114922,116104,1182,1.03
cold_alloc_free_256x16b_4n,204127,206024,1897,0.93
cold_alloc_only_256x16b_2n,45627,46017,390,0.85
dealloc_free_only_1088_16b_n64,93850,94600,750,0.80
dealloc_free_only_1088_16b_n32,90338,91016,678,0.75
dealloc_free_only_1088_16b_n17,89159,89805,646,0.72
dealloc_realloc_burst_1088_16b_n17,90468,91101,633,0.70
dealloc_prealloc_only_1088_16b,87870,88481,611,0.70
realloc_grow,492690,493357,667,0.14
carve_batch_only_16b_2n,74185,74229,44,0.06
carve_batch_only_16b,68284,68321,37,0.05
alloc_zeroed_calloc_virgin_64k_prefix,3,3,0,0.00
alloc_zeroed_calloc_virgin_64k,3,3,0,0.00
alloc_zeroed_calloc_recycled_64k_prefix,3,3,0,0.00
alloc_zeroed_calloc_recycled_64k,3,3,0,0.00
dealloc_batch_fresh_16_16b,3,3,0,0.00
dealloc_batch_fresh_64_16b,3,3,0,0.00
dealloc_batch_fresh_80_16b,3,3,0,0.00
dealloc_batch_fresh_81_16b,3,3,0,0.00
dealloc_batch_fresh_128_16b,3,3,0,0.00
dealloc_batch_fresh_200_16b,3,3,0,0.00
dealloc_batch_fresh_512_16b,3,3,0,0.00
dealloc_batch_fresh_1024_16b,3,3,0,0.00
dealloc_batch_fresh_0_16b,3,3,0,0.00
dealloc_batch_fresh_1_16b,3,3,0,0.00
dealloc_batch_fresh_8_16b,3,3,0,0.00
dealloc_batch_fresh_17_16b,3,3,0,0.00
mimalloc_small_churn_16b,16629,16629,0,0.00
mimalloc_small_churn_16b_2n,21557,21557,0,0.00
mimalloc_churn_256b,16130,16130,0,0.00
mimalloc_cold_alloc_free_256x16b,32325,32325,0,0.00
mimalloc_cold_alloc_free_256x16b_2n,58389,58389,0,0.00
mimalloc_cold_alloc_free_256x16b_4n,106653,106653,0,0.00
mimalloc_cold_alloc_only_256x16b,24584,24584,0,0.00
mimalloc_cold_alloc_only_256x16b_2n,42968,42968,0,0.00
mimalloc_cold_alloc_only_256x16b_4n,75872,75872,0,0.00
mimalloc_cold_alloc_free_256x64b,33329,33329,0,0.00
mimalloc_recycle_alloc_free_256x16b,53027,53027,0,0.00
mimalloc_recycle_alloc_free_256x64b,54031,54031,0,0.00
mimalloc_bootstrap_proxy,13050,13050,0,0.00
cold_alloc_only_256x16b_4n,88381,88355,-26,-0.03
