section,subject,ir_or_delta,value,units,provenance
"validation","green_mimalloc_small_churn_16b_matches_R22_15","ir","16629","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log"
"validation","green_mimalloc_bootstrap_proxy_matches_R22_15","ir","13050","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log"
"validation","green_large_alloc_free_cycle_matches_R22_15","ir","3308","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log"
"validation","green_small_churn_16b_matches_R22_15","ir","8051","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log"
"validation","green_small_churn_16b_rop_ratio_matches_R22_15","ir","1.326","ratio","docs/perf/_raw_item56_endpoint_42d8d223.log"
"validation","green_small_churn_16b_ir_per_op","ir","74.1","Ir/op","docs/perf/_raw_item56_endpoint_42d8d223.log"
"endpoint","large_alloc_free_cycle_green","ir","3308","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log"
"endpoint","large_alloc_free_cycle_red","ir","4132","Ir","docs/perf/_raw_item56_endpoint_42d42061.log"
"endpoint","large_alloc_free_cycle_delta","delta","824","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log+docs/perf/_raw_item56_endpoint_42d42061.log"
"endpoint","large_alloc_free_cycle_pct_of_green","delta","24.91","pct","docs/perf/R56_ITEM56_ENDPOINTS_summary.csv"
"endpoint","small_churn_16b_green","ir","8051","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log"
"endpoint","small_churn_16b_red","ir","9035","Ir","docs/perf/_raw_item56_endpoint_42d42061.log"
"endpoint","small_churn_16b_delta","delta","984","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log+docs/perf/_raw_item56_endpoint_42d42061.log"
"endpoint","small_churn_16b_pct_of_green","delta","12.22","pct","docs/perf/R56_ITEM56_ENDPOINTS_summary.csv"
"endpoint","small_churn_16b_2n_green","ir","12467","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log"
"endpoint","small_churn_16b_2n_red","ir","13643","Ir","docs/perf/_raw_item56_endpoint_42d42061.log"
"endpoint","small_churn_16b_2n_delta","delta","1176","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log+docs/perf/_raw_item56_endpoint_42d42061.log"
"endpoint","small_churn_16b_2n_pct_of_green","delta","9.43","pct","docs/perf/R56_ITEM56_ENDPOINTS_summary.csv"
"endpoint","dealloc_contains_base_probe_only_16b_green","ir","8104","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log"
"endpoint","dealloc_contains_base_probe_only_16b_red","ir","9739","Ir","docs/perf/_raw_item56_endpoint_42d42061.log"
"endpoint","dealloc_contains_base_probe_only_16b_delta","delta","1635","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log+docs/perf/_raw_item56_endpoint_42d42061.log"
"endpoint","dealloc_contains_base_probe_only_16b_pct_of_green","delta","20.18","pct","docs/perf/R56_ITEM56_ENDPOINTS_summary.csv"
"endpoint","dealloc_hash_contains_only_probe_16b_green","ir","8349","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log"
"endpoint","dealloc_hash_contains_only_probe_16b_red","ir","9792","Ir","docs/perf/_raw_item56_endpoint_42d42061.log"
"endpoint","dealloc_hash_contains_only_probe_16b_delta","delta","1443","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log+docs/perf/_raw_item56_endpoint_42d42061.log"
"endpoint","dealloc_hash_contains_only_probe_16b_pct_of_green","delta","17.28","pct","docs/perf/R56_ITEM56_ENDPOINTS_summary.csv"
"endpoint","cold_alloc_free_256x16b_green","ir","50464","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log"
"endpoint","cold_alloc_free_256x16b_red","ir","51545","Ir","docs/perf/_raw_item56_endpoint_42d42061.log"
"endpoint","cold_alloc_free_256x16b_delta","delta","1081","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log+docs/perf/_raw_item56_endpoint_42d42061.log"
"endpoint","cold_alloc_free_256x16b_pct_of_green","delta","2.14","pct","docs/perf/R56_ITEM56_ENDPOINTS_summary.csv"
"endpoint","seg_cycle_decommit_256k_green","ir","62388","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log"
"endpoint","seg_cycle_decommit_256k_red","ir","64701","Ir","docs/perf/_raw_item56_endpoint_42d42061.log"
"endpoint","seg_cycle_decommit_256k_delta","delta","2313","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log+docs/perf/_raw_item56_endpoint_42d42061.log"
"endpoint","seg_cycle_decommit_256k_pct_of_green","delta","3.71","pct","docs/perf/R56_ITEM56_ENDPOINTS_summary.csv"
"endpoint","compared_arms","count","79","arms","docs/perf/R56_ITEM56_ENDPOINTS_summary.csv"
"endpoint","arms_over_10pct","count","25","arms","docs/perf/R56_ITEM56_ENDPOINTS_summary.csv"
"endpoint","red_only_arms","count","6","arms","docs/perf/_raw_item56_endpoint_42d42061.log (large_cache_*/alloc_zeroed_magazine_*)"
"endpoint","mimalloc_arms_delta","delta","0","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log+docs/perf/_raw_item56_endpoint_42d42061.log"
"bisect1","94e133a_small_churn_16b","ir","9045","Ir","docs/perf/_raw_item56_bisect_94e133a.log"
"bisect1","94e133a_large_alloc_free_cycle","ir","4140","Ir","docs/perf/_raw_item56_bisect_94e133a.log"
"bisect1","e3d01b2_small_churn_16b","ir","9045","Ir","docs/perf/_raw_item56_bisect_e3d01b2.log"
"bisect1","e3d01b2_large_alloc_free_cycle","ir","4140","Ir","docs/perf/_raw_item56_bisect_e3d01b2.log"
"bisect1","2dfeaa3_small_churn_16b","ir","8810","Ir","docs/perf/_raw_item56_bisect_2dfeaa3.log"
"bisect1","2dfeaa3_large_alloc_free_cycle","ir","4080","Ir","docs/perf/_raw_item56_bisect_2dfeaa3.log"
"bisect1","e6bbc6a_small_churn_16b","ir","8055","Ir","docs/perf/_raw_item56_bisect_e6bbc6a.log"
"bisect1","e6bbc6a_large_alloc_free_cycle","ir","3312","Ir","docs/perf/_raw_item56_bisect_e6bbc6a.log"
"bisect1","5d72bc6_small_churn_16b","ir","8055","Ir","docs/perf/_raw_item56_bisect_5d72bc6.log"
"bisect1","5d72bc6_large_alloc_free_cycle","ir","3312","Ir","docs/perf/_raw_item56_bisect_5d72bc6.log"
"bisect1","62e217f_small_churn_16b","ir","8055","Ir","docs/perf/_raw_item56_bisect_62e217f.log"
"bisect1","62e217f_large_alloc_free_cycle","ir","3312","Ir","docs/perf/_raw_item56_bisect_62e217f.log"
"bisect1","03a6c55_small_churn_16b","ir","8810","Ir","docs/perf/_raw_item56_bisect_03a6c55.log"
"bisect1","03a6c55_large_alloc_free_cycle","ir","4080","Ir","docs/perf/_raw_item56_bisect_03a6c55.log"
"bisect1","5df56d3_small_churn_16b","ir","8810","Ir","docs/perf/_raw_item56_bisect_5df56d3.log"
"bisect1","5df56d3_large_alloc_free_cycle","ir","4080","Ir","docs/perf/_raw_item56_bisect_5df56d3.log"
"bisect1","first_bad_commit","sha","5df56d376735933b3fb6c0097f5984771afab276","sha","docs/perf/_raw_item56_bisect_run.log"
"bisect2","454149e_small_churn_16b","ir","9045","Ir","docs/perf/_raw_item56_bisect2_454149e.log"
"bisect2","f6c3a61_small_churn_16b","ir","9045","Ir","docs/perf/_raw_item56_bisect2_f6c3a61.log"
"bisect2","ce3f44d_small_churn_16b","ir","8810","Ir","docs/perf/_raw_item56_bisect2_ce3f44d.log"
"bisect2","c9a3570_small_churn_16b","ir","9037","Ir","docs/perf/_raw_item56_bisect2_c9a3570.log"
"bisect2","a3e3e18_small_churn_16b","ir","9037","Ir","docs/perf/_raw_item56_bisect2_a3e3e18.log"
"bisect2","5289c66_small_churn_16b","ir","9037","Ir","docs/perf/_raw_item56_bisect2_5289c66.log"
"bisect2","e550006_small_churn_16b","ir","9035","Ir","docs/perf/_raw_item56_bisect2_e550006.log"
"bisect2","first_bad_commit","sha","5289c661877462f3caf6c4e136ad3c163f6fe15b","sha","docs/perf/_raw_item56_bisect2_run.log"
"equivalence","red_vs_5289c66_small_churn_16b_dev","delta","2","Ir","docs/perf/_raw_item56_endpoint_42d42061.log vs docs/perf/_raw_item56_bisect2_5289c66.log"
"equivalence","red_vs_5289c66_large_alloc_free_cycle_dev","delta","11","Ir","docs/perf/_raw_item56_endpoint_42d42061.log vs docs/perf/_raw_item56_bisect2_5289c66.log"
"equivalence","red_vs_5289c66_cold_alloc_free_256x16b_dev","delta","2","Ir","docs/perf/_raw_item56_endpoint_42d42061.log vs docs/perf/_raw_item56_bisect2_5289c66.log"
"equivalence","red_vs_5289c66_seg_cycle_decommit_256k_dev","delta","8","Ir","docs/perf/_raw_item56_endpoint_42d42061.log vs docs/perf/_raw_item56_bisect2_5289c66.log"
