arm,threads,mean_ops_per_sec,median_ops_per_sec,commit_sha
baseline_local_atomic,1,6624609,6937411,a935e79cc2f589880402452a79e0186861f70bb6
baseline_local_atomic,2,14070938,13492045,a935e79cc2f589880402452a79e0186861f70bb6
baseline_local_atomic,4,25031949,24278179,a935e79cc2f589880402452a79e0186861f70bb6
baseline_local_atomic,8,40972705,44065239,a935e79cc2f589880402452a79e0186861f70bb6
shared_atomic,1,6790796,6775573,a935e79cc2f589880402452a79e0186861f70bb6
shared_atomic,2,5361433,6282265,a935e79cc2f589880402452a79e0186861f70bb6
shared_atomic,4,6986049,7022053,a935e79cc2f589880402452a79e0186861f70bb6
shared_atomic,8,5477466,6113467,a935e79cc2f589880402452a79e0186861f70bb6
shared_fetch_add,1,5719373,5990122,a935e79cc2f589880402452a79e0186861f70bb6
shared_fetch_add,2,8568206,8623477,a935e79cc2f589880402452a79e0186861f70bb6
shared_fetch_add,4,11968411,12289051,a935e79cc2f589880402452a79e0186861f70bb6
shared_fetch_add,8,12695237,12441109,a935e79cc2f589880402452a79e0186861f70bb6
