run,cap,threads,rep,bench,total_ops_per_sec,per_thread_max,per_thread_min,per_thread_mean,max_over_min,min_over_mean
1,0,2,1,push_pop,18435624,9684992,8755200,9220096.0,1.106,0.950
1,0,2,1,churn,11437603,5863424,5578752,5721088.0,1.051,0.975
1,0,4,1,push_pop,5892248,1543168,1369600,1473536.0,1.127,0.929
1,0,4,1,churn,4188208,1098240,996352,1047552.0,1.102,0.951
1,0,8,1,push_pop,4329777,601600,515072,541632.0,1.168,0.951
1,0,8,1,churn,2849422,384000,312832,356416.0,1.227,0.878
1,0,16,1,push_pop,5024421,1370112,154112,312384.0,8.890,0.493
1,0,16,1,churn,2703969,623104,109568,171648.0,5.687,0.638
1,4,2,1,push_pop,33608740,19299328,14313472,16806400.0,1.348,0.852
1,4,2,1,churn,33667499,17595392,16076800,16836096.0,1.094,0.955
1,4,4,1,push_pop,27587382,8139776,5696000,6900096.0,1.429,0.825
1,4,4,1,churn,25198964,7661056,4992512,6302080.0,1.535,0.792
1,4,8,1,push_pop,14856677,2232320,1589248,1858176.0,1.405,0.855
1,4,8,1,churn,12692134,2021888,1245184,1587392.0,1.624,0.784
1,4,16,1,push_pop,7302659,918016,283648,461120.0,3.236,0.615
1,4,16,1,churn,5513033,1044992,154112,349824.0,6.781,0.441
1,6,2,1,push_pop,29477572,15487488,14000640,14744064.0,1.106,0.950
1,6,2,1,churn,26346025,14092288,12263424,13177856.0,1.149,0.931
1,6,4,1,push_pop,33843787,11259392,4644352,8463232.0,2.424,0.549
1,6,4,1,churn,33109303,9695744,6649856,8279808.0,1.458,0.803
1,6,8,1,push_pop,29517726,5326848,2418688,3691648.0,2.202,0.655
1,6,8,1,churn,27061085,5025280,2144256,3384768.0,2.344,0.634
1,6,16,1,push_pop,22816579,2972672,474624,1433696.0,6.263,0.331
1,6,16,1,churn,21974093,3762688,501760,1374016.0,7.499,0.365
1,8,2,1,push_pop,35737912,20063744,15682048,17872896.0,1.279,0.877
1,8,2,1,churn,30941231,17173504,13773312,15473408.0,1.247,0.890
1,8,4,1,push_pop,35432280,11567104,6579200,8861056.0,1.758,0.742
1,8,4,1,churn,35340092,12515840,6124544,8838784.0,2.044,0.693
1,8,8,1,push_pop,34657959,7084032,2344448,4334784.0,3.022,0.541
1,8,8,1,churn,34314390,7858688,1524224,4293184.0,5.156,0.355
1,8,16,1,push_pop,32994406,5447680,502272,2077792.0,10.846,0.242
1,8,16,1,churn,33757933,5743104,331776,2108288.0,17.310,0.157
1,10,2,1,push_pop,36266241,22547968,13723648,18135808.0,1.643,0.757
1,10,2,1,churn,36183518,18946048,17247232,18096640.0,1.098,0.953
1,10,4,1,push_pop,34754370,10775040,5464576,8692736.0,1.972,0.629
1,10,4,1,churn,32982566,10216960,4532736,8273280.0,2.254,0.548
1,10,8,1,push_pop,34878454,6185472,2192384,4364160.0,2.821,0.502
1,10,8,1,churn,34327478,6610944,1512448,4294912.0,4.371,0.352
1,10,16,1,push_pop,35856536,5261824,662016,2244320.0,7.948,0.295
1,10,16,1,churn,34803110,4267520,599552,2243904.0,7.118,0.267
2,6,16,1,push_pop,25271226,3283968,472064,1635616.0,6.957,0.289
2,6,16,1,churn,24211225,3010048,384512,1538400.0,7.828,0.250
2,6,16,2,push_pop,26160655,3202560,939008,1689856.0,3.411,0.556
2,6,16,2,churn,23970451,3368448,711168,1553760.0,4.737,0.458
2,8,16,1,push_pop,19199465,2125824,247808,1319584.0,8.579,0.188
2,8,16,1,churn,14657136,2484224,142848,1319136.0,17.391,0.108
2,8,16,2,push_pop,32676865,4093440,211968,2058656.0,19.312,0.103
2,8,16,2,churn,30634872,3533312,672768,1981120.0,5.252,0.340
2,10,16,1,push_pop,34927192,9811456,209920,2190592.0,46.739,0.096
2,10,16,1,churn,34589143,6400000,259072,2252576.0,24.704,0.115
2,10,16,2,push_pop,35087901,9118720,372736,2274464.0,24.464,0.164
2,10,16,2,churn,33942472,7577088,587776,2189408.0,12.891,0.268
