kind,target,features,function_or_variant,variant,metric,value,unit
identity,aarch64-unknown-linux-gnu,,,,head_sha,0472f29383268b07d955d2d80dc8edc5e866fd56,sha
identity,aarch64-unknown-linux-gnu,,,,tree_sha,c6bc313f3c879c231e004e335fced56d5f6bf380,sha
codegen,x86_64-unknown-linux-gnu,default,load_next,base,instr_count,10,instructions
codegen,x86_64-unknown-linux-gnu,default,load_next,links_relaxed,instr_count,10,instructions
codegen,x86_64-unknown-linux-gnu,default,load_next,cas_weak,instr_count,10,instructions
codegen,x86_64-unknown-linux-gnu,default,store_next,base,instr_count,10,instructions
codegen,x86_64-unknown-linux-gnu,default,store_next,links_relaxed,instr_count,10,instructions
codegen,x86_64-unknown-linux-gnu,default,store_next,cas_weak,instr_count,10,instructions
codegen,x86_64-unknown-linux-gnu,default,push_index_impl,base,instr_count,51,instructions
codegen,x86_64-unknown-linux-gnu,default,push_index_impl,base,cmpxchg,2,instructions
codegen,x86_64-unknown-linux-gnu,default,push_index_impl,links_relaxed,instr_count,51,instructions
codegen,x86_64-unknown-linux-gnu,default,push_index_impl,links_relaxed,cmpxchg,2,instructions
codegen,x86_64-unknown-linux-gnu,default,push_index_impl,cas_weak,instr_count,51,instructions
codegen,x86_64-unknown-linux-gnu,default,push_index_impl,cas_weak,cmpxchg,2,instructions
codegen,x86_64-unknown-linux-gnu,default,pop_index_impl,base,instr_count,58,instructions
codegen,x86_64-unknown-linux-gnu,default,pop_index_impl,base,cmpxchg,2,instructions
codegen,x86_64-unknown-linux-gnu,default,pop_index_impl,links_relaxed,instr_count,58,instructions
codegen,x86_64-unknown-linux-gnu,default,pop_index_impl,links_relaxed,cmpxchg,2,instructions
codegen,x86_64-unknown-linux-gnu,default,pop_index_impl,cas_weak,instr_count,58,instructions
codegen,x86_64-unknown-linux-gnu,default,pop_index_impl,cas_weak,cmpxchg,2,instructions
codegen_identity,x86_64-unknown-linux-gnu,default,load_next,cas_weak,identical_to_base,1,boolean
codegen_identity,x86_64-unknown-linux-gnu,default,load_next,links_relaxed,identical_to_base,1,boolean
codegen_identity,x86_64-unknown-linux-gnu,default,store_next,cas_weak,identical_to_base,1,boolean
codegen_identity,x86_64-unknown-linux-gnu,default,store_next,links_relaxed,identical_to_base,1,boolean
codegen_identity,x86_64-unknown-linux-gnu,default,push_index_impl,cas_weak,identical_to_base,1,boolean
codegen_identity,x86_64-unknown-linux-gnu,default,push_index_impl,links_relaxed,identical_to_base,1,boolean
codegen_identity,x86_64-unknown-linux-gnu,default,pop_index_impl,cas_weak,identical_to_base,1,boolean
codegen_identity,x86_64-unknown-linux-gnu,default,pop_index_impl,links_relaxed,identical_to_base,1,boolean
codegen,aarch64-unknown-linux-gnu,default,load_next,base,instr_count,13,instructions
codegen,aarch64-unknown-linux-gnu,default,load_next,base,ldar,1,instructions
codegen,aarch64-unknown-linux-gnu,default,load_next,links_relaxed,instr_count,12,instructions
codegen,aarch64-unknown-linux-gnu,default,load_next,cas_weak,instr_count,13,instructions
codegen,aarch64-unknown-linux-gnu,default,load_next,cas_weak,ldar,1,instructions
codegen,aarch64-unknown-linux-gnu,default,store_next,base,instr_count,13,instructions
codegen,aarch64-unknown-linux-gnu,default,store_next,base,stlr,1,instructions
codegen,aarch64-unknown-linux-gnu,default,store_next,links_relaxed,instr_count,12,instructions
codegen,aarch64-unknown-linux-gnu,default,store_next,cas_weak,instr_count,13,instructions
codegen,aarch64-unknown-linux-gnu,default,store_next,cas_weak,stlr,1,instructions
codegen,aarch64-unknown-linux-gnu,default,push_index_impl,base,instr_count,68,instructions
codegen,aarch64-unknown-linux-gnu,default,push_index_impl,base,stlr,2,instructions
codegen,aarch64-unknown-linux-gnu,default,push_index_impl,base,cas8,2,instructions
codegen,aarch64-unknown-linux-gnu,default,push_index_impl,links_relaxed,instr_count,68,instructions
codegen,aarch64-unknown-linux-gnu,default,push_index_impl,links_relaxed,cas8,2,instructions
codegen,aarch64-unknown-linux-gnu,default,push_index_impl,cas_weak,instr_count,68,instructions
codegen,aarch64-unknown-linux-gnu,default,push_index_impl,cas_weak,stlr,2,instructions
codegen,aarch64-unknown-linux-gnu,default,push_index_impl,cas_weak,cas8,2,instructions
codegen,aarch64-unknown-linux-gnu,default,pop_index_impl,base,instr_count,75,instructions
codegen,aarch64-unknown-linux-gnu,default,pop_index_impl,base,ldar,2,instructions
codegen,aarch64-unknown-linux-gnu,default,pop_index_impl,base,cas8,2,instructions
codegen,aarch64-unknown-linux-gnu,default,pop_index_impl,links_relaxed,instr_count,75,instructions
codegen,aarch64-unknown-linux-gnu,default,pop_index_impl,links_relaxed,ldar,1,instructions
codegen,aarch64-unknown-linux-gnu,default,pop_index_impl,links_relaxed,cas8,2,instructions
codegen,aarch64-unknown-linux-gnu,default,pop_index_impl,cas_weak,instr_count,75,instructions
codegen,aarch64-unknown-linux-gnu,default,pop_index_impl,cas_weak,ldar,2,instructions
codegen,aarch64-unknown-linux-gnu,default,pop_index_impl,cas_weak,cas8,2,instructions
codegen,aarch64-unknown-linux-gnu,lse,load_next,base,instr_count,13,instructions
codegen,aarch64-unknown-linux-gnu,lse,load_next,base,ldar,1,instructions
codegen,aarch64-unknown-linux-gnu,lse,load_next,links_relaxed,instr_count,12,instructions
codegen,aarch64-unknown-linux-gnu,lse,load_next,cas_weak,instr_count,13,instructions
codegen,aarch64-unknown-linux-gnu,lse,load_next,cas_weak,ldar,1,instructions
codegen,aarch64-unknown-linux-gnu,lse,store_next,base,instr_count,13,instructions
codegen,aarch64-unknown-linux-gnu,lse,store_next,base,stlr,1,instructions
codegen,aarch64-unknown-linux-gnu,lse,store_next,links_relaxed,instr_count,12,instructions
codegen,aarch64-unknown-linux-gnu,lse,store_next,cas_weak,instr_count,13,instructions
codegen,aarch64-unknown-linux-gnu,lse,store_next,cas_weak,stlr,1,instructions
codegen,aarch64-unknown-linux-gnu,lse,push_index_impl,base,instr_count,59,instructions
codegen,aarch64-unknown-linux-gnu,lse,push_index_impl,base,stlr,2,instructions
codegen,aarch64-unknown-linux-gnu,lse,push_index_impl,base,cas,2,instructions
codegen,aarch64-unknown-linux-gnu,lse,push_index_impl,links_relaxed,instr_count,58,instructions
codegen,aarch64-unknown-linux-gnu,lse,push_index_impl,links_relaxed,cas,2,instructions
codegen,aarch64-unknown-linux-gnu,lse,push_index_impl,cas_weak,instr_count,59,instructions
codegen,aarch64-unknown-linux-gnu,lse,push_index_impl,cas_weak,stlr,2,instructions
codegen,aarch64-unknown-linux-gnu,lse,push_index_impl,cas_weak,cas,2,instructions
codegen,aarch64-unknown-linux-gnu,lse,pop_index_impl,base,instr_count,67,instructions
codegen,aarch64-unknown-linux-gnu,lse,pop_index_impl,base,ldar,2,instructions
codegen,aarch64-unknown-linux-gnu,lse,pop_index_impl,base,cas,2,instructions
codegen,aarch64-unknown-linux-gnu,lse,pop_index_impl,links_relaxed,instr_count,67,instructions
codegen,aarch64-unknown-linux-gnu,lse,pop_index_impl,links_relaxed,ldar,1,instructions
codegen,aarch64-unknown-linux-gnu,lse,pop_index_impl,links_relaxed,cas,2,instructions
codegen,aarch64-unknown-linux-gnu,lse,pop_index_impl,cas_weak,instr_count,67,instructions
codegen,aarch64-unknown-linux-gnu,lse,pop_index_impl,cas_weak,ldar,2,instructions
codegen,aarch64-unknown-linux-gnu,lse,pop_index_impl,cas_weak,cas,2,instructions
codegen_identity,aarch64-unknown-linux-gnu,default,load_next,cas_weak,identical_to_base,1,boolean
codegen_identity,aarch64-unknown-linux-gnu,default,store_next,cas_weak,identical_to_base,1,boolean
codegen_identity,aarch64-unknown-linux-gnu,default,push_index_impl,cas_weak,identical_to_base,1,boolean
codegen_identity,aarch64-unknown-linux-gnu,default,pop_index_impl,cas_weak,identical_to_base,1,boolean
codegen_identity,aarch64-unknown-linux-gnu,lse,load_next,cas_weak,identical_to_base,1,boolean
codegen_identity,aarch64-unknown-linux-gnu,lse,store_next,cas_weak,identical_to_base,1,boolean
codegen_identity,aarch64-unknown-linux-gnu,lse,push_index_impl,cas_weak,identical_to_base,1,boolean
codegen_identity,aarch64-unknown-linux-gnu,lse,pop_index_impl,cas_weak,identical_to_base,1,boolean
wallclock,x86_64-pc-windows-msvc,,,base,median_ops_per_sec,16707840.00,ops/s
wallclock,x86_64-pc-windows-msvc,,,links_relaxed,median_ops_per_sec,16574080.00,ops/s
wallclock,x86_64-pc-windows-msvc,,,cas_weak,median_ops_per_sec,16528640.00,ops/s
wallclock,x86_64-pc-windows-msvc,,,base,ratio_vs_base,1.000,ratio
wallclock,x86_64-pc-windows-msvc,,,links_relaxed,ratio_vs_base,0.992,ratio
wallclock,x86_64-pc-windows-msvc,,,cas_weak,ratio_vs_base,0.989,ratio
