    Finished `bench` profile [optimized] target(s) in 0.64s
     Running benches\r30_3_virgin_zero_skip_native_gate.rs (D:\dev\rust\.cargo-target\release\deps\r30_3_virgin_zero_skip_native_gate-286e4f5ef7b51192.exe)
# R30-3 virgin-zero-skip native gate -- CSV header:
# R30_3_ROW,scenario,size,touch,reps,mean_ns_per_op,p50_ns_per_op,min_ns_per_op,max_ns_per_op,mean_activation_pct,min_activation_pct,oracle
# cfg: virgin-zero-skip=true small-segment-lazy-commit=false VIRGIN_BATCH=1 RECYCLED_BATCH=16 VIRGIN_REPS=50 REPS=10 MIN_ACTIVATION_PCT=95
R30_3_ROW,virgin,4k,notouch,50,64778.0,60900.0,41100.0,138900.0,100.00,100.00,PASS
R30_3_ROW,virgin,4k,onebyte,50,64976.0,64800.0,43200.0,86100.0,100.00,100.00,PASS
R30_3_ROW,virgin,4k,full,50,64224.0,62500.0,45400.0,96300.0,100.00,100.00,PASS
R30_3_ROW,virgin,16k,notouch,50,74768.0,67500.0,57900.0,305700.0,100.00,100.00,PASS
R30_3_ROW,virgin,16k,onebyte,50,77660.0,75700.0,52400.0,128200.0,100.00,100.00,PASS
R30_3_ROW,virgin,16k,full,50,107974.0,94000.0,76500.0,300900.0,100.00,100.00,PASS
R30_3_ROW,virgin,64k,notouch,50,103442.0,97300.0,75600.0,201500.0,100.00,100.00,PASS
R30_3_ROW,virgin,64k,onebyte,50,116790.0,105600.0,83900.0,198800.0,100.00,100.00,PASS
R30_3_ROW,virgin,64k,full,50,171694.0,172800.0,129300.0,271300.0,100.00,100.00,PASS
R30_3_ROW,virgin,128k,notouch,50,104666.0,99700.0,85200.0,150300.0,100.00,100.00,PASS
R30_3_ROW,virgin,128k,onebyte,50,182802.0,156900.0,131400.0,575700.0,100.00,100.00,PASS
R30_3_ROW,virgin,128k,full,50,262460.0,234300.0,179400.0,672000.0,100.00,100.00,PASS
R30_3_ROW,recycled,4k,notouch,10,113.1,118.8,100.0,125.0,100.00,100.00,PASS
R30_3_ROW,recycled,4k,onebyte,10,125.0,125.0,118.8,131.2,100.00,100.00,PASS
R30_3_ROW,recycled,4k,full,10,2991.2,2987.5,2968.8,3012.5,100.00,100.00,PASS
R30_3_ROW,recycled,16k,notouch,10,332.5,331.2,325.0,337.5,100.00,100.00,PASS
R30_3_ROW,recycled,16k,onebyte,10,340.6,343.8,331.2,350.0,100.00,100.00,PASS
R30_3_ROW,recycled,16k,full,10,13935.0,11650.0,7650.0,38543.8,100.00,100.00,PASS
R30_3_ROW,recycled,64k,notouch,10,1762.5,1737.5,1731.2,1987.5,100.00,100.00,PASS
R30_3_ROW,recycled,64k,onebyte,10,1737.5,1737.5,1731.2,1743.8,100.00,100.00,PASS
R30_3_ROW,recycled,64k,full,10,35840.6,32631.2,31475.0,50481.2,100.00,100.00,PASS
R30_3_ROW,recycled,128k,notouch,10,3864.4,3743.8,3600.0,4662.5,100.00,100.00,PASS
R30_3_ROW,recycled,128k,onebyte,10,3610.0,3462.5,3443.8,4112.5,100.00,100.00,PASS
R30_3_ROW,recycled,128k,full,10,77980.0,77081.2,63162.5,102700.0,100.00,100.00,PASS
