   Compiling sefer-alloc v0.3.0 (D:\dev\rust\sefer-alloc)
    Finished `bench` profile [optimized] target(s) in 12.68s
     Running benches\r30_3_virgin_zero_skip_native_gate.rs (D:\dev\rust\.cargo-target\release\deps\r30_3_virgin_zero_skip_native_gate-13776da4b11e3b3d.exe)
# R30-3 virgin-zero-skip native gate -- CSV header:
# R30_3_ROW,scenario,size,touch,reps,mean_ns_per_op,p50_ns_per_op,min_ns_per_op,max_ns_per_op,mean_activation_pct,min_activation_pct,oracle
# cfg: virgin-zero-skip=true small-segment-lazy-commit=true VIRGIN_BATCH=1 RECYCLED_BATCH=16 VIRGIN_REPS=50 REPS=10 MIN_ACTIVATION_PCT=95
R30_3_ROW,virgin,4k,notouch,50,57178.0,55100.0,47300.0,93500.0,100.00,100.00,PASS
R30_3_ROW,virgin,4k,onebyte,50,59124.0,57600.0,43100.0,81400.0,100.00,100.00,PASS
R30_3_ROW,virgin,4k,full,50,72808.0,69700.0,53500.0,145100.0,100.00,100.00,PASS
R30_3_ROW,virgin,16k,notouch,50,70082.0,67600.0,55900.0,110800.0,100.00,100.00,PASS
R30_3_ROW,virgin,16k,onebyte,50,78694.0,73500.0,59800.0,287700.0,100.00,100.00,PASS
R30_3_ROW,virgin,16k,full,50,80778.0,79900.0,70900.0,102600.0,100.00,100.00,PASS
R30_3_ROW,virgin,64k,notouch,50,91050.0,85800.0,60900.0,210500.0,100.00,100.00,PASS
R30_3_ROW,virgin,64k,onebyte,50,127102.0,122200.0,92700.0,211700.0,100.00,100.00,PASS
R30_3_ROW,virgin,64k,full,50,175782.0,174700.0,120400.0,339500.0,100.00,100.00,PASS
R30_3_ROW,virgin,128k,notouch,50,107088.0,105600.0,71100.0,164800.0,100.00,100.00,PASS
R30_3_ROW,virgin,128k,onebyte,50,172208.0,175600.0,111300.0,311300.0,100.00,100.00,PASS
R30_3_ROW,virgin,128k,full,50,323038.0,271800.0,178500.0,902000.0,100.00,100.00,PASS
R30_3_ROW,recycled,4k,notouch,10,149.4,137.5,112.5,262.5,100.00,100.00,PASS
R30_3_ROW,recycled,4k,onebyte,10,113.1,118.8,93.8,125.0,100.00,100.00,PASS
R30_3_ROW,recycled,4k,full,10,3111.9,3175.0,1931.2,3843.8,100.00,100.00,PASS
R30_3_ROW,recycled,16k,notouch,10,308.8,331.2,193.8,337.5,100.00,100.00,PASS
R30_3_ROW,recycled,16k,onebyte,10,354.4,343.8,312.5,512.5,100.00,100.00,PASS
R30_3_ROW,recycled,16k,full,10,11682.5,11662.5,11612.5,11818.8,100.00,100.00,PASS
R30_3_ROW,recycled,64k,notouch,10,2003.8,1912.5,1868.8,2412.5,100.00,100.00,PASS
R30_3_ROW,recycled,64k,onebyte,10,1930.0,1962.5,1737.5,2106.2,100.00,100.00,PASS
R30_3_ROW,recycled,64k,full,10,50907.5,50775.0,50268.8,53006.2,100.00,100.00,PASS
R30_3_ROW,recycled,128k,notouch,10,3934.4,3662.5,3443.8,6600.0,100.00,100.00,PASS
R30_3_ROW,recycled,128k,onebyte,10,4136.2,3918.8,3725.0,6062.5,100.00,100.00,PASS
R30_3_ROW,recycled,128k,full,10,97344.4,100806.2,84975.0,104337.5,100.00,100.00,PASS
