=== R34-11 catch-up decay gate — stride=64 catchup_max=8 ===

--- SPARSE REGIME: allocfree, events {1,2,4,8} × 40 intervals × 2 arms ---
headroom=16777216 obj_bytes=2097152 decay_interval_ms=100 wait_ms=150 slots=8

--- sparse events=1 arm=throttled ---
RESULT sparse_ts=1 interval=0 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19588
RESULT sparse_ts=1 interval=1 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=2 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=3 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=4 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=5 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=6 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=7 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=8 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=9 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=10 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=11 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=12 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=13 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=14 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=15 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=16 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=17 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=18 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=19 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=20 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=21 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=22 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=23 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=24 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=25 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=26 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=27 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=28 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=29 events=1 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=30 events=1 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=31 events=1 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=32 events=1 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=33 events=1 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=34 events=1 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=35 events=1 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
RESULT sparse_ts=1 interval=36 events=1 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13440
